"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.466875005E-3,8.876541138E0,-3.126997375E-1,2.944077759E0,9.357262289E0
1.451487500E-2,8.771309967E0,-3.034190369E-1,2.884351959E0,9.238367165E0
2.456287501E-2,8.864266663E0,-1.616638184E-1,2.844684448E0,9.310939172E0
3.460987500E-2,9.087751923E0,-2.844085693E-3,2.844085693E0,9.522398150E0
4.465787501E-2,9.348509674E0,1.727407837E-1,2.886148224E0,9.785413843E0
5.470587500E-2,9.463620300E0,2.683918762E-1,3.014880524E0,9.935876809E0
6.475287501E-2,9.399703217E0,2.661465454E-1,3.151845703E0,9.917630054E0
7.480087500E-2,9.263336792E0,1.715432739E-1,3.207080841E0,9.804295137E0
8.484887501E-2,9.151968384E0,1.945953369E-2,3.244353333E0,9.710032570E0
9.489587500E-2,9.183552704E0,-1.710942078E-1,3.104693756E0,9.695671035E0
1.049438750E-1,9.313033447E0,-2.435435486E-1,2.884950714E0,9.752684045E0
1.149918750E-1,9.359137573E0,-1.847158813E-1,2.677931213E0,9.736472239E0
1.250388750E-1,9.368118896E0,-6.960525513E-2,2.576142883E0,9.716121073E0
1.350868750E-1,9.723928986E0,-1.282832336E-1,2.509082336E0,1.004324378E1
1.451348750E-1,9.888885956E0,-1.257385254E-1,2.549348602E0,1.021298457E1
1.551818750E-1,9.942474518E0,-1.466949463E-1,2.612816620E0,1.028110547E1
1.652298750E-1,9.850565643E0,-1.760339355E-1,2.628533936E0,1.019675547E1
1.752778750E-1,9.672885132E0,-1.959425354E-1,2.641556854E0,1.002900408E1
1.853248750E-1,9.493558044E0,-1.895059204E-1,2.695295105E0,9.870571034E0
1.953728750E-1,9.387728119E0,-1.553768921E-1,2.770139465E0,9.789139588E0
2.054205417E-1,9.360784149E0,-1.519340515E-1,2.781964874E0,9.766611101E0
2.154685417E-1,9.371711426E0,-1.269360352E-1,2.730621643E0,9.762242691E0
2.255155417E-1,9.418863373E0,-1.188528442E-1,2.673889618E0,9.791772001E0
2.355635417E-1,9.504934387E0,-1.164578247E-1,2.599494324E0,9.854679643E0
2.456115417E-1,9.580527191E0,-8.202941895E-2,2.551144867E0,9.914714833E0
2.556585417E-1,9.545949097E0,-1.058299255E-1,2.554138641E0,9.882305820E0
2.657065417E-1,9.403295746E0,-1.794767761E-1,2.568359070E0,9.749392346E0
2.757545417E-1,9.227860565E0,-2.297721863E-1,2.566562805E0,9.580889860E0
2.858015417E-1,9.192384338E0,-3.095562744E-1,2.621348877E0,9.563849897E0
2.958495417E-1,9.224268036E0,-4.014651489E-1,2.687810669E0,9.616268572E0
3.058975417E-1,9.242530060E0,-4.297563171E-1,2.760409698E0,9.655512110E0
3.159445417E-1,9.258995819E0,-4.219725037E-1,2.815046082E0,9.686668613E0
3.259925417E-1,9.330696716E0,-3.679348755E-1,2.810106354E0,9.751613969E0
3.360405417E-1,9.484277344E0,-2.971321106E-1,2.841091919E0,9.905130363E0
3.460875417E-1,9.618548126E0,-2.430944824E-1,2.836002502E0,1.003087599E1
3.561355417E-1,9.676028595E0,-2.653981018E-1,2.806214447E0,1.007823422E1
3.661835417E-1,9.563612366E0,-2.926414490E-1,2.780917053E0,9.964026302E0
3.762305417E-1,9.371112671E0,-2.511776733E-1,2.750380554E0,9.769618012E0
3.862785417E-1,9.255552979E0,-2.151026917E-1,2.875969391E0,9.694469044E0
3.963265417E-1,9.258247375E0,-2.076182556E-1,2.983894958E0,9.729433639E0
4.063735417E-1,9.361382904E0,-1.282832336E-1,2.993924103E0,9.829319814E0
4.164215417E-1,9.380093994E0,-3.936813354E-2,2.963986359E0,9.837323230E0
4.264695417E-1,9.438622284E0,1.661544800E-2,2.907703400E0,9.876366020E0
4.365165417E-1,9.545050964E0,-3.847000122E-2,2.854563904E0,9.962831572E0
4.465645417E-1,9.604178009E0,-1.001417542E-1,2.834655304E0,1.001426654E1
4.566125417E-1,9.645192719E0,-1.154100037E-1,2.763553162E0,1.003395675E1
4.666595417E-1,9.610315247E0,-8.187973022E-2,2.631228333E0,9.964347744E0
4.767075417E-1,9.589059448E0,-4.191284180E-2,2.481240234E0,9.904966981E0
4.867555417E-1,9.612560577E0,-6.541397095E-2,2.353705444E0,9.896743361E0
4.968025417E-1,9.614057465E0,-1.216969299E-1,2.307301941E0,9.887798204E0
5.068505417E-1,9.588909760E0,-1.875599670E-1,2.330653381E0,9.869869011E0
5.168985417E-1,9.598190460E0,-1.910028076E-1,2.295925598E0,9.870816407E0
5.269455417E-1,9.624984741E0,-1.332229614E-1,2.259850616E0,9.887618744E0
5.369935417E-1,9.559720459E0,-4.296066284E-2,2.334694977E0,9.840777485E0
5.470415417E-1,9.583670654E0,-3.367996216E-2,2.414179688E0,9.883124056E0
5.570885417E-1,9.607321472E0,-3.412902832E-2,2.388283539E0,9.899782266E0
5.671365417E-1,9.561516724E0,-5.179229736E-2,2.339934082E0,9.843809019E0
5.771845417E-1,9.453591156E0,-8.277786255E-2,2.291734314E0,9.727758431E0
5.872315417E-1,9.308093719E0,-9.265731812E-2,2.294877777E0,9.587265412E0
5.972795417E-1,9.252409515E0,-1.279838562E-1,2.266137543E0,9.526743466E0
6.073265417E-1,9.308991852E0,-1.034349060E-1,2.144889679E0,9.553459050E0
6.173745417E-1,9.428892517E0,1.137634277E-2,2.062710571E0,9.651886780E0
6.274225417E-1,9.563762054E0,1.342707825E-1,2.112257538E0,9.795162336E0
6.374695417E-1,9.689799957E0,1.722917175E-1,2.099533997E0,9.916145958E0
6.475175417E-1,9.757608948E0,1.725910950E-1,2.081122284E0,9.978566532E0
6.575655417E-1,9.789492645E0,1.579216003E-1,2.209405518E0,1.003696061E1
6.676125417E-1,9.686357117E0,1.445993042E-1,2.325114899E0,9.962559031E0
6.776605417E-1,9.547146606E0,1.202000427E-1,2.404150543E0,9.845932978E0
6.877085417E-1,9.429640961E0,1.016386414E-1,2.369871826E0,9.723412546E0
6.977555417E-1,9.419911194E0,8.277786255E-2,2.261048126E0,9.687823166E0
7.078035417E-1,9.480385437E0,1.008901978E-1,2.106868744E0,9.712197628E0
7.178515417E-1,9.543254700E0,1.032852173E-1,2.060614929E0,9.763734531E0
7.278985417E-1,9.539362793E0,1.053808594E-1,2.095193024E0,9.767311883E0
7.379465417E-1,9.469009094E0,1.754351807E-1,2.225272522E0,9.728553260E0
7.479945417E-1,9.433682556E0,2.484832764E-1,2.410587158E0,9.739971302E0
7.580415417E-1,9.473350067E0,2.713856506E-1,2.562670898E0,9.817601224E0
7.680895417E-1,9.543853455E0,2.706372070E-1,2.687810669E0,9.918805848E0
7.781365417E-1,9.628577271E0,2.656974792E-1,2.758463745E0,1.001944198E1
7.881845417E-1,9.631571045E0,2.541714478E-1,2.727029114E0,1.001341359E1
7.982325417E-1,9.564809875E0,2.598596191E-1,2.581381989E0,9.910431269E0
8.082795417E-1,9.502239990E0,2.329156494E-1,2.458038483E0,9.817778145E0
8.183275417E-1,9.430090027E0,1.519340515E-1,2.353705444E0,9.720576690E0
8.283755417E-1,9.414971466E0,6.511459351E-2,2.351011047E0,9.704286711E0
8.384225417E-1,9.401948547E0,3.697311401E-2,2.366728363E0,9.695329115E0
8.484705417E-1,9.417516174E0,7.798782349E-2,2.436483307E0,9.727905422E0
8.585185417E-1,9.445058899E0,1.428030396E-1,2.548001404E0,9.783753956E0
8.685655417E-1,9.480235748E0,1.695973206E-1,2.604883118E0,9.833058993E0
8.786135417E-1,9.487720184E0,2.014810181E-1,2.691253510E0,9.864090143E0
8.886615417E-1,9.502539368E0,1.707948303E-1,2.759810944E0,9.896665183E0
8.987085417E-1,9.513017578E0,1.270857239E-1,2.744692383E0,9.901868031E0
9.087565417E-1,9.482481079E0,1.284329224E-1,2.663561096E0,9.850304571E0
9.188035417E-1,9.438622284E0,1.839674377E-1,2.575693817E0,9.785480738E0
9.288515417E-1,9.391021271E0,2.158511353E-1,2.478695526E0,9.715029785E0
9.388995417E-1,9.427994385E0,2.091151428E-1,2.397264862E0,9.730245941E0
9.489465417E-1,9.519603882E0,1.889071655E-1,2.412832489E0,9.822438832E0
9.589945417E-1,9.597442017E0,2.037263489E-1,2.432441711E0,9.902987951E0
9.690425417E-1,9.594597931E0,1.812730408E-1,2.636168060E0,9.951811464E0
9.790895417E-1,9.578730927E0,1.886077881E-1,2.938688965E0,1.002115522E1
9.891375417E-1,9.589658203E0,3.210823059E-1,2.968327332E0,1.004368485E1
9.991855417E-1,9.628427582E0,4.186793518E-1,2.870430908E0,1.005590790E1
1.009232542E0,9.652527466E0,4.043092346E-1,2.652184753E0,1.001842485E1
1.019280542E0,9.702673187E0,3.465293884E-1,2.437980194E0,1.001027957E1
1.029327542E0,9.652826843E0,2.556683350E-1,2.367476807E0,9.942201909E0
1.039375542E0,9.551936646E0,2.210902405E-1,2.380200348E0,9.846508430E0
1.049423542E0,9.475146332E0,1.920506287E-1,2.371668091E0,9.769344450E0
1.059470542E0,9.463320923E0,1.661544800E-1,2.349813538E0,9.752111251E0
1.069518542E0,9.466464386E0,1.917512512E-1,2.355202332E0,9.756930590E0
1.079566542E0,9.427096252E0,2.251318359E-1,2.387684784E0,9.727377176E0
1.089613542E0,9.379195862E0,2.900967407E-1,2.339035950E0,9.670809703E0
1.099661542E0,9.339678040E0,3.600013733E-1,2.408790894E0,9.652018465E0
1.109708542E0,9.302106171E0,3.884422302E-1,2.446811829E0,9.626367680E0
1.119756542E0,9.318122864E0,3.921844482E-1,2.327958984E0,9.612523882E0
1.129804542E0,9.312135315E0,4.279600525E-1,2.356100464E0,9.615103917E0
1.139851542E0,9.300908661E0,5.149291992E-1,2.363435211E0,9.610300723E0
1.149899542E0,9.326355743E0,6.092330933E-1,2.392474823E0,9.647591005E0
1.159947542E0,9.492959290E0,5.885760498E-1,2.369722137E0,9.801952910E0
1.169994542E0,9.553433533E0,5.119354248E-1,2.296224976E0,9.838842375E0
1.180042542E0,9.530531158E0,4.162843323E-1,2.271676025E0,9.806366747E0
1.190089542E0,9.444609833E0,3.522175598E-1,2.200573883E0,9.703980499E0
1.200137542E0,9.481582947E0,3.110531616E-1,2.115700378E0,9.719740600E0
1.210185375E0,9.569300537E0,2.715353394E-1,2.207459564E0,9.824363691E0
1.220232375E0,9.602531433E0,2.438429260E-1,2.457140350E0,9.914918456E0
1.230280375E0,9.566905518E0,3.106040955E-1,2.458337860E0,9.882589798E0
1.240328375E0,9.598639526E0,4.590953064E-1,2.282004547E0,9.876851422E0
1.250375375E0,9.677226105E0,4.790039062E-1,2.236199799E0,9.943778928E0
1.260423375E0,9.718091125E0,4.013154602E-1,2.309397583E0,9.996782803E0
1.270470375E0,9.682614899E0,2.965333557E-1,2.427951050E0,9.986786751E0
1.280518375E0,9.505233765E0,2.556683350E-1,2.477647705E0,9.826167787E0
1.290566375E0,9.339678040E0,2.230361938E-1,2.517315216E0,9.675546854E0
1.300613375E0,9.232201538E0,2.023791504E-1,2.474354553E0,9.560174319E0
1.310661375E0,9.266629944E0,2.514770508E-1,2.336191864E0,9.559888265E0
1.320708375E0,9.466165009E0,2.975811768E-1,2.199975128E0,9.722999799E0
1.330756375E0,9.651180267E0,3.409909058E-1,2.110161896E0,9.885056326E0
1.340804375E0,9.688452759E0,3.703298950E-1,2.023941193E0,9.904524170E0
1.350851375E0,9.663155365E0,3.448828125E-1,2.027234344E0,9.879534141E0
1.360899375E0,9.619895325E0,2.978805542E-1,2.118544464E0,9.854914994E0
1.370947375E0,9.563163300E0,2.607577515E-1,2.277364197E0,9.834046704E0
1.380994375E0,9.455088043E0,2.065704346E-1,2.395468597E0,9.756004871E0
1.391042375E0,9.397158508E0,1.971400452E-1,2.372266846E0,9.693972468E0
1.401089375E0,9.462123413E0,1.630110168E-1,2.443967743E0,9.774013014E0
1.411137375E0,9.549242249E0,1.655557251E-1,2.398162994E0,9.847163143E0
1.421185375E0,9.646689606E0,1.517843628E-1,2.260449371E0,9.909151841E0
1.431232375E0,9.746232605E0,1.215472412E-1,2.246678009E0,1.000256896E1
1.441280375E0,9.773176575E0,1.200503540E-1,2.226020966E0,1.002419881E1
1.451327375E0,9.767488403E0,1.167572021E-1,2.183509369E0,1.000925447E1
1.461375375E0,9.663754120E0,5.777984619E-2,2.318229218E0,9.938091814E0
1.471423375E0,9.519154816E0,2.499801636E-2,2.430495758E0,9.824573423E0
1.481470375E0,9.361233215E0,-3.832031250E-2,2.566113739E0,9.706652125E0
1.491518375E0,9.309889984E0,-6.586303711E-3,2.587668915E0,9.662821809E0
1.501565375E0,9.441616058E0,9.385482788E-2,2.484832764E0,9.763570883E0
1.511613375E0,9.717342682E0,1.187031555E-1,2.595303040E0,1.005864986E1
1.521661375E0,9.862540741E0,7.454498291E-2,2.569706268E0,1.019208797E1
1.531708375E0,9.848919067E0,6.571334839E-2,2.389331360E0,1.013481275E1
1.541756375E0,9.808652802E0,2.903961182E-2,2.226919098E0,1.005831406E1
1.551803375E0,9.734556885E0,-8.532257080E-2,2.185605011E0,9.977261495E0
1.561851375E0,9.613758087E0,-1.330732727E-1,2.131417694E0,9.848095980E0
1.571899375E0,9.504485321E0,-7.828720093E-2,2.094893646E0,9.732931187E0
1.581946375E0,9.470955048E0,4.385879517E-2,2.202519836E0,9.723785618E0
1.591994375E0,9.468859406E0,2.107617188E-1,2.411185913E0,9.773307345E0
1.602041375E0,9.416767731E0,3.312611389E-1,2.414329376E0,9.726984876E0
1.612089375E0,9.430988159E0,3.686833191E-1,2.503693542E0,9.764627305E0
1.622137375E0,9.438173218E0,3.640429688E-1,2.617307281E0,9.801119241E0
1.632184375E0,9.485325165E0,3.038681030E-1,2.622995453E0,9.846006015E0
1.642232375E0,9.369316406E0,2.186952209E-1,2.488874359E0,9.696721771E0
1.652279375E0,9.223818970E0,1.320254517E-1,2.421364746E0,9.537257171E0
1.662327375E0,9.190139008E0,5.538482666E-2,2.355651398E0,9.487403015E0
1.672375375E0,9.236841888E0,1.137634277E-2,2.361489258E0,9.533939847E0
1.682422375E0,9.332193604E0,6.646179199E-2,2.408940582E0,9.638321916E0
1.692470375E0,9.404044189E0,1.463955688E-1,2.440674591E0,9.716705781E0
1.702517375E0,9.445058899E0,1.842668152E-1,2.525697784E0,9.778662545E0
1.712565375E0,9.524693298E0,1.990859985E-1,2.648741913E0,9.888136902E0
1.722613375E0,9.583520966E0,2.082170105E-1,2.724634094E0,9.965483399E0
1.732660375E0,9.619296570E0,2.356100464E-1,2.778372345E0,1.001527491E1
1.742708375E0,9.588161316E0,2.460882568E-1,2.748883667E0,9.977462516E0
1.752755375E0,9.540410614E0,1.698966980E-1,2.775827637E0,9.937480498E0
1.762803375E0,9.490264893E0,7.125183105E-2,2.761158142E0,9.884037578E0
1.772851375E0,9.400751038E0,-4.116439819E-2,2.721191254E0,9.786761283E0
1.782898375E0,9.357790375E0,-9.819580078E-2,2.592159576E0,9.710673220E0
1.792946375E0,9.466763763E0,-8.397537231E-2,2.506238251E0,9.793257792E0
1.802993375E0,9.617649994E0,-5.119354248E-2,2.509531403E0,9.939796781E0
1.813041375E0,9.718989258E0,-2.365081787E-2,2.470612335E0,1.002812230E1
1.823089375E0,9.688901825E0,-4.745132446E-2,2.414179688E0,9.985255819E0
1.833136375E0,9.591903534E0,-1.377136230E-1,2.320923615E0,9.869663868E0
1.843184375E0,9.504635010E0,-2.171983337E-1,2.190095673E0,9.756115049E0
1.853231375E0,9.536219330E0,-2.888992310E-1,2.128872986E0,9.775225934E0
1.863279375E0,9.605824585E0,-3.360511780E-1,2.078577576E0,9.833884334E0
1.873326375E0,9.586963806E0,-3.270698547E-1,2.018851776E0,9.802683929E0
1.883374375E0,9.551337891E0,-2.978805542E-1,2.036215668E0,9.770514959E0
1.893422375E0,9.577383728E0,-2.103126526E-1,2.088457031E0,9.804701079E0
1.903469375E0,9.639354858E0,-1.365161133E-1,2.173330536E0,9.882265143E0
1.913517375E0,9.698930969E0,-1.290316772E-1,2.216141510E0,9.949733379E0
1.923564375E0,9.645641785E0,-2.110610962E-1,2.213596802E0,9.898634402E0
1.933612375E0,9.600286102E0,-2.838098145E-1,2.190844116E0,9.851184660E0
1.943660375E0,9.617500305E0,-2.959346008E-1,2.170935516E0,9.863916586E0
1.953707375E0,9.631271667E0,-3.308120728E-1,2.223476257E0,9.890130294E0
1.963755375E0,9.669442291E0,-3.378474426E-1,2.243085480E0,9.931952859E0
1.973802375E0,9.673932953E0,-3.665876770E-1,2.274819489E0,9.944554742E0
1.983850375E0,9.641749878E0,-4.180805969E-1,2.268083496E0,9.913744744E0
1.993897375E0,9.704768829E0,-4.824467468E-1,2.258653107E0,9.975811082E0
2.003945375E0,9.772727509E0,-5.376818848E-1,2.238744507E0,1.004028295E1
2.013993375E0,9.741143188E0,-5.882766724E-1,2.166295166E0,9.996438106E0
2.024040375E0,9.630523224E0,-5.930667114E-1,2.079475708E0,9.870305209E0
2.034088375E0,9.531728668E0,-6.074368286E-1,2.087109833E0,9.776444055E0
2.044135375E0,9.394314423E0,-6.532415771E-1,2.189496918E0,9.668183117E0
2.054183375E0,9.302405548E0,-7.018904114E-1,2.341580658E0,9.618232640E0
2.064231375E0,9.241182861E0,-7.698490906E-1,2.547851715E0,9.616843383E0
2.074278375E0,9.287885742E0,-7.952961731E-1,2.689606934E0,9.702128788E0
2.084326375E0,9.504185944E0,-8.271798706E-1,2.828667755E0,9.950635068E0
2.094373375E0,9.760902100E0,-8.517288208E-1,2.935545502E0,1.022829796E1
2.104421375E0,9.931696930E0,-7.873626709E-1,2.939736786E0,1.038752118E1
2.114468375E0,9.988279266E0,-7.304809570E-1,2.950065308E0,1.044041237E1
2.124516375E0,9.839488678E0,-7.188052368E-1,2.978655853E0,1.030556205E1
2.134564375E0,9.631870422E0,-6.915618896E-1,2.837649078E0,1.006496090E1
2.144611375E0,9.516310730E0,-5.869294739E-1,2.674488373E0,9.902400930E0
2.154659375E0,9.475146332E0,-4.864883423E-1,2.502346344E0,9.812074508E0
2.164706375E0,9.451944580E0,-4.008663940E-1,2.325114899E0,9.741976673E0
2.174754375E0,9.463021545E0,-3.281176758E-1,2.207459564E0,9.722618768E0
2.184801375E0,9.492360535E0,-2.999761963E-1,2.170636139E0,9.741999563E0
2.194849375E0,9.497749329E0,-3.297642517E-1,2.209555206E0,9.756952443E0
2.204897625E0,9.496402130E0,-3.941304016E-1,2.230062561E0,9.762692826E0
2.214944625E0,9.483828278E0,-4.468208313E-1,2.276166687E0,9.763379663E0
2.224992625E0,9.526639252E0,-4.155358887E-1,2.285148010E0,9.805683400E0
2.235039625E0,9.658065948E0,-3.577560425E-1,2.267484741E0,9.927120141E0
2.245087625E0,9.804162140E0,-2.857557678E-1,2.263293457E0,1.006606919E1
2.255134625E0,9.821825409E0,-2.799179077E-1,2.287992096E0,1.008868258E1
2.265182625E0,9.751771088E0,-3.165916443E-1,2.149679718E0,9.990915499E0
2.275230625E0,9.785151672E0,-3.126997375E-1,2.042053528E0,1.000084781E1
2.285277625E0,9.853110352E0,-3.366499329E-1,1.949096832E0,1.004968135E1
2.295325625E0,9.898166656E0,-4.311035156E-1,1.978435822E0,1.010315603E1
2.305372625E0,9.840386810E0,-5.092410278E-1,2.077829132E0,1.007024890E1
2.315420625E0,9.726024628E0,-5.144801331E-1,2.132914581E0,9.970434769E0
2.325467625E0,9.615704041E0,-5.774990845E-1,2.321821747E0,9.908891240E0
2.335515625E0,9.469458160E0,-7.238946533E-1,2.568808136E0,9.838365543E0
2.345562625E0,9.314979401E0,-8.273295593E-1,2.579436035E0,9.700866234E0
2.355610625E0,9.334738312E0,-8.418493652E-1,2.584375763E0,9.722399281E0
2.365658625E0,9.448501740E0,-8.024812317E-1,2.622396698E0,9.838451387E0
2.375705625E0,9.544601898E0,-7.798782349E-1,2.584375763E0,9.919003657E0
2.385753625E0,9.526190186E0,-7.367678833E-1,2.566712494E0,9.893388671E0
2.395800625E0,9.389524384E0,-7.315287781E-1,2.591710510E0,9.768073806E0
2.405848625E0,9.253307648E0,-6.933581543E-1,2.530338135E0,9.618059005E0
2.415895625E0,9.211394806E0,-6.782395935E-1,2.456840973E0,9.557503376E0
2.425943625E0,9.241033173E0,-6.951544189E-1,2.488574982E0,9.595464512E0
2.435991625E0,9.216035156E0,-7.512876892E-1,2.607876892E0,9.607328405E0
2.446038625E0,9.472601624E0,-7.848179626E-1,2.799628143E0,9.908785924E0
2.456086625E0,9.664053497E0,-7.899073792E-1,2.901416473E0,1.012107214E1
2.466133625E0,9.702074432E0,-7.885601807E-1,2.935246124E0,1.016699293E1
2.476181625E0,9.710756378E0,-9.069639587E-1,2.966381378E0,1.019415477E1
2.486228625E0,9.642797699E0,-1.027014313E0,2.965183868E0,1.014054344E1
2.496276625E0,9.545350342E0,-1.137634277E0,3.004252625E0,1.007141791E1
2.506323625E0,9.463470612E0,-1.207089844E0,3.030897217E0,1.001002896E1
2.516371625E0,9.451196136E0,-1.141526184E0,2.890788574E0,9.949112977E0
