"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.045916670E-3,1.098715210E-1,3.890409851E-1,9.776170349E0,9.784525095E0
1.409191667E-2,1.014889526E-1,3.821553040E-1,9.785750427E0,9.793735452E0
2.413691667E-2,1.221459961E-1,3.752696228E-1,9.776469727E0,9.784431882E0
3.418291667E-2,1.278341675E-1,3.671864319E-1,9.789043579E0,9.796761794E0
4.422791667E-2,1.260379028E-1,3.552113342E-1,9.788145447E0,9.795399529E0
5.427291667E-2,1.323248291E-1,3.592529297E-1,9.783056030E0,9.790544307E0
6.431891667E-2,1.225950623E-1,3.547622681E-1,9.780361633E0,9.787561468E0
7.436391667E-2,1.061293030E-1,3.673361206E-1,9.769584045E0,9.777063551E0
8.440991667E-2,9.969268799E-2,3.713777161E-1,9.787696381E0,9.795246831E0
9.445491667E-2,9.924362183E-2,3.613485718E-1,9.804910583E0,9.812068775E0
1.045009167E-1,9.984237671E-2,3.706292725E-1,9.798623657E0,9.806138900E0
1.145459167E-1,1.164578247E-1,3.790118408E-1,9.782457275E0,9.790489403E0
1.245909167E-1,1.264869690E-1,3.716770935E-1,9.797426147E0,9.805289487E0
1.346369167E-1,1.191522217E-1,3.676354980E-1,9.789642334E0,9.797267483E0
1.446819167E-1,1.273851013E-1,3.691323853E-1,9.782457275E0,9.790248006E0
1.547279167E-1,1.163081360E-1,3.769161987E-1,9.790540466E0,9.798483353E0
1.647729167E-1,1.161584473E-1,3.698808289E-1,9.791139221E0,9.798811758E0
1.748189167E-1,1.142124939E-1,3.650907898E-1,9.796977081E0,9.804442652E0
1.848639167E-1,9.879455566E-2,3.604504395E-1,9.780810699E0,9.787948857E0
1.949089167E-1,1.127156067E-1,3.662882996E-1,9.779313812E0,9.786820248E0
2.049549167E-1,1.193019104E-1,3.538641357E-1,9.805060272E0,9.812168961E0
2.149999167E-1,1.125659180E-1,3.582051086E-1,9.794282684E0,9.801477199E0
2.250459167E-1,1.131646729E-1,3.736230469E-1,9.796528015E0,9.804303217E0
2.350909167E-1,1.182540894E-1,3.679348755E-1,9.792785797E0,9.800408857E0
2.451369167E-1,1.215472412E-1,3.752696228E-1,9.790241089E0,9.798184607E0
2.551819167E-1,1.152603149E-1,3.826043701E-1,9.796827393E0,9.804973126E0
2.652269167E-1,1.224453735E-1,3.784130859E-1,9.774374084E0,9.782462782E0
2.752729167E-1,1.243913269E-1,3.784130859E-1,9.790241089E0,9.798341199E0
2.853179167E-1,1.181044006E-1,3.713777161E-1,9.785451050E0,9.793207968E0
2.953639167E-1,1.127156067E-1,3.737727356E-1,9.786349182E0,9.794132998E0
3.054089167E-1,1.151106262E-1,3.855981445E-1,9.785151672E0,9.793422774E0
3.154549167E-1,1.278341675E-1,3.701802063E-1,9.786049805E0,9.793883078E0
3.254999167E-1,1.040336609E-1,3.806584167E-1,9.774224396E0,9.782187198E0
3.355449167E-1,1.131646729E-1,3.658392334E-1,9.792486420E0,9.799971167E0
3.455909167E-1,1.182540894E-1,3.664379883E-1,9.791288910E0,9.798857043E0
3.556359167E-1,1.107696533E-1,3.564088440E-1,9.799222412E0,9.806327399E0
3.656819167E-1,1.095721436E-1,3.628454590E-1,9.786798248E0,9.794135124E0
3.757269167E-1,1.155596924E-1,3.770658875E-1,9.785001984E0,9.792946265E0
3.857729167E-1,1.199006653E-1,3.776646423E-1,9.793833618E0,9.801845933E0
3.958179167E-1,1.311273193E-1,3.746708679E-1,9.796078949E0,9.804118288E0
4.058639167E-1,1.279838562E-1,3.673361206E-1,9.790241089E0,9.797965925E0
4.159089167E-1,1.267863464E-1,3.616479492E-1,9.790241089E0,9.797738749E0
4.259539167E-1,1.167572021E-1,3.709286499E-1,9.793384552E0,9.801102045E0
4.359999167E-1,1.179547119E-1,3.764671326E-1,9.781559143E0,9.789511739E0
4.460449167E-1,1.130149841E-1,3.556604004E-1,9.779762878E0,9.786880436E0
4.560909167E-1,1.212478638E-1,3.650907898E-1,9.802814941E0,9.810360498E0
4.661359167E-1,1.002914429E-1,3.667373657E-1,9.780211945E0,9.787599315E0
4.761819167E-1,1.109193420E-1,3.677851868E-1,9.781858521E0,9.789398611E0
4.862269167E-1,1.230441284E-1,3.734733582E-1,9.790540466E0,9.798433795E0
4.962719167E-1,1.155596924E-1,3.606001282E-1,9.787546692E0,9.794868899E0
5.063179167E-1,1.146615601E-1,3.646417236E-1,9.774523773E0,9.781994983E0
5.163629167E-1,1.071771240E-1,3.864962769E-1,9.804162140E0,9.812362691E0
5.264089167E-1,1.179547119E-1,4.087998962E-1,9.795180817E0,9.804417265E0
5.364539167E-1,1.184037781E-1,4.285588074E-1,9.788594513E0,9.798686884E0
5.464999167E-1,1.203497314E-1,4.418811035E-1,9.804461517E0,9.815151991E0
5.565449167E-1,1.383123779E-1,4.221221924E-1,9.768386536E0,9.778481118E0
5.665899167E-1,1.428030396E-1,3.766168213E-1,9.765991516E0,9.774294002E0
5.766359167E-1,1.269360352E-1,3.522175598E-1,9.774224396E0,9.781392156E0
5.866809167E-1,1.254391479E-1,3.394940186E-1,9.796228638E0,9.802912154E0
5.967269167E-1,1.110690308E-1,3.403921509E-1,9.790690155E0,9.797235164E0
6.067719167E-1,9.834548950E-2,3.167413330E-1,9.807006226E0,9.812612701E0
6.168179167E-1,1.070274353E-1,2.924917603E-1,9.789642334E0,9.794595618E0
6.268629167E-1,1.088237000E-1,2.856060791E-1,9.803264008E0,9.808027255E0
6.369079167E-1,1.190025330E-1,3.047662354E-1,9.793534241E0,9.798997754E0
6.469539167E-1,1.279838562E-1,3.559597778E-1,9.783505096E0,9.790815043E0
6.569989167E-1,1.285826111E-1,3.908372498E-1,9.777068481E0,9.785722014E0
6.670449167E-1,1.380130005E-1,4.032614136E-1,9.799372101E0,9.808637058E0
6.770899167E-1,1.324745178E-1,4.281097412E-1,9.788145447E0,9.798398784E0
6.871359167E-1,1.345701599E-1,4.174818420E-1,9.783355408E0,9.793183509E0
6.971809167E-1,1.089733887E-1,4.275109863E-1,9.788744202E0,9.798681232E0
7.072259167E-1,1.071771240E-1,4.068539429E-1,9.795330505E0,9.804362130E0
