"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.497416667E-3,5.006869324E-4,3.678559558E-3,-5.757962354E-4,3.756864269E-3
1.454341667E-2,5.803155946E-4,-5.244412459E-4,9.278245270E-4,1.213533338E-3
2.458841667E-2,-2.830813173E-4,-5.328458734E-3,4.696543328E-4,5.356601787E-3
3.463441667E-2,1.638389425E-3,7.984098047E-4,1.538380980E-3,2.385035464E-3
4.467941667E-2,-3.114598803E-5,1.741064712E-2,-1.042648684E-3,1.744186686E-2
5.472441667E-2,1.011215267E-3,2.830031328E-2,7.363429759E-4,2.832794537E-2
6.477041667E-2,2.626955044E-3,3.827911615E-2,-2.065758454E-4,3.836970550E-2
7.481541667E-2,2.356377896E-3,3.333602473E-2,-2.421260579E-3,3.350679878E-2
8.486141667E-2,4.697562195E-3,3.515040502E-2,4.772178363E-4,3.546612187E-2
9.490641667E-2,2.450919710E-3,4.678708687E-2,-1.017614501E-3,4.686228809E-2
1.049514167E-1,2.992074238E-3,6.381945312E-2,-1.077375840E-3,6.389863726E-2
1.149974167E-1,9.496960556E-4,3.552283347E-2,-5.274331197E-4,3.553944014E-2
1.250424167E-1,-1.488960814E-3,-3.584736586E-2,-1.458553597E-4,3.587857183E-2
1.350874167E-1,-2.452225890E-3,-1.465698779E-1,-1.378632616E-3,1.465968729E-1
1.451334167E-1,-3.912704065E-3,-1.690156907E-1,-9.893032257E-5,1.690610030E-1
1.551784167E-1,-1.149940537E-3,-1.442200691E-1,-1.777254511E-3,1.442356035E-1
1.652244167E-1,-2.175523667E-3,-9.581305832E-2,6.714439951E-5,9.583777729E-2
1.752694167E-1,1.405096380E-3,-2.502170578E-2,-1.191998250E-3,2.508945826E-2
1.853144167E-1,1.040509786E-3,3.234233707E-2,4.594812635E-4,3.236233228E-2
1.953604167E-1,1.617350383E-3,5.422580242E-2,1.316220034E-3,5.426588160E-2
2.054054167E-1,1.364083844E-3,3.632571921E-2,6.242240779E-4,3.635668104E-2
2.154514167E-1,1.609893632E-3,-1.313344389E-2,-3.504927736E-4,1.323638739E-2
2.254964167E-1,-9.635188617E-4,-6.348641962E-2,-7.072498556E-4,6.349766962E-2
2.355414167E-1,-7.661788259E-4,-1.113378331E-1,-1.247871434E-3,1.113474620E-1
2.455874167E-1,-6.521951873E-4,-1.593098491E-1,-1.868684776E-4,1.593112937E-1
2.556324167E-1,-1.971791731E-3,-2.144055963E-1,-2.890243195E-3,2.144341418E-1
2.656784167E-1,-2.014135942E-3,-2.596463859E-1,-1.116843894E-3,2.596565998E-1
2.757234167E-1,-3.773153760E-3,-3.040194511E-1,-2.723529004E-3,3.040550624E-1
2.857684167E-1,-1.102268696E-3,-2.686633766E-1,-1.589664025E-3,2.686703406E-1
2.958144167E-1,-2.762749791E-3,-2.115806639E-1,-2.095398260E-3,2.116090755E-1
3.058594167E-1,-1.219714992E-3,-1.551765800E-1,-1.588277053E-3,1.551895012E-1
3.159044167E-1,-1.438627020E-3,-9.614574909E-2,1.356912777E-3,9.616608513E-2
3.259504167E-1,-4.085164983E-4,-4.217252508E-2,-1.232105307E-3,4.219249745E-2
3.359954167E-1,-1.690983772E-4,1.198631898E-2,-7.218436804E-4,1.200922542E-2
3.460414167E-1,1.325201476E-3,6.195053458E-2,1.947655575E-3,6.199530834E-2
3.560864167E-1,5.273184506E-4,1.072591618E-1,7.044917438E-4,1.072627715E-1
3.661314167E-1,2.234517597E-4,1.481736898E-1,1.010808628E-3,1.481773060E-1
3.761774167E-1,2.113230992E-3,1.804578602E-1,2.520821057E-3,1.804878378E-1
3.862224167E-1,2.970236354E-3,2.027899474E-1,1.638569403E-3,2.028183177E-1
3.962684167E-1,2.512438921E-3,2.166458368E-1,1.884911675E-3,2.166686038E-1
4.063134167E-1,4.227780737E-3,2.186796665E-1,4.775898997E-4,2.187210524E-1
4.163584167E-1,3.456529230E-3,2.106472999E-1,2.088003559E-3,2.106860040E-1
4.264044167E-1,3.089546226E-3,1.971627772E-1,1.689062221E-3,1.971942163E-1
4.364494167E-1,2.846133197E-3,1.739021987E-1,2.373494674E-3,1.739416818E-1
4.464944167E-1,2.610709518E-3,1.491271257E-1,6.628930569E-4,1.491514494E-1
4.565404167E-1,6.090776296E-4,1.190778837E-1,1.869837521E-3,1.190941210E-1
4.665854167E-1,7.025549421E-4,8.757866919E-2,1.386207063E-3,8.759245659E-2
4.766314167E-1,-3.194482997E-5,5.535868183E-2,4.322626628E-4,5.536037866E-2
4.866764167E-1,6.522209151E-4,2.322855778E-2,-8.923676796E-5,2.323788398E-2
4.967214167E-1,-2.316823229E-4,-7.202051114E-3,2.836058848E-4,7.211355576E-3
5.067674167E-1,1.519289799E-5,-3.219996020E-2,-4.164860584E-4,3.220265716E-2
5.168124167E-1,-6.380805280E-4,-5.598198995E-2,-3.882566234E-4,5.598697249E-2
5.268584167E-1,-1.668723999E-3,-7.378502190E-2,9.008722845E-4,7.380938739E-2
5.369034167E-1,-2.596835839E-3,-8.746647835E-2,-1.797176083E-3,8.752347247E-2
5.469484167E-1,-1.301474404E-3,-9.528154880E-2,-3.040125594E-3,9.533892039E-2
5.569944167E-1,-3.563186619E-4,-9.962969273E-2,-1.189494738E-3,9.963743039E-2
5.670394167E-1,-1.562464051E-3,-9.769520164E-2,-6.198447663E-4,9.770966136E-2
5.770844167E-1,-7.283620071E-4,-9.251348674E-2,4.488020204E-5,9.251636479E-2
5.871304167E-1,-2.463677665E-3,-8.259803802E-2,8.775666356E-5,8.263481889E-2
5.971754167E-1,-1.141950721E-3,-6.996799260E-2,-8.573990781E-4,6.998256335E-2
6.072214167E-1,-1.167783514E-3,-5.723793432E-2,-1.123661408E-3,5.726087197E-2
6.172664167E-1,3.957585432E-4,-4.152289033E-2,-4.059396451E-4,4.152676045E-2
6.273114167E-1,1.733850222E-4,-2.718549222E-2,2.861609682E-4,2.718755115E-2
6.373574167E-1,-1.599481096E-3,-1.215833984E-2,-7.484770613E-4,1.228591818E-2
6.474024167E-1,-1.914682798E-4,2.286526375E-3,-1.871357672E-4,2.302147423E-3
6.574484167E-1,-2.982611768E-4,1.577144116E-2,2.664003987E-4,1.577651055E-2
6.674934167E-1,5.275849253E-4,2.620387077E-2,-8.718867321E-4,2.622367968E-2
6.775384167E-1,3.516650759E-5,3.381678089E-2,1.151849283E-3,3.383641032E-2
6.875844167E-1,1.999247586E-3,3.948736191E-2,5.946632009E-4,3.954241224E-2
6.976294167E-1,-3.243603278E-4,4.251085222E-2,-9.473069804E-4,4.252264287E-2
7.076744167E-1,-2.502067946E-5,4.299483448E-2,2.099348698E-3,4.304606467E-2
7.177204167E-1,-1.211608760E-4,3.846719489E-2,-3.859131830E-4,3.846932143E-2
7.277664167E-1,1.285520848E-3,3.490122408E-2,1.096934779E-3,3.494211316E-2
7.378124167E-1,-1.817328157E-3,2.824731730E-2,-4.658080870E-4,2.830954951E-2
7.478574167E-1,1.113479957E-3,2.195080370E-2,-9.016070981E-4,2.199751158E-2
7.579024167E-1,-1.191219548E-3,1.559623424E-2,-4.214391811E-4,1.564733643E-2
7.679484167E-1,5.915008951E-4,5.938517861E-3,-7.720711874E-4,6.017637544E-3
7.779934167E-1,-1.277029514E-5,1.291834749E-3,-1.299830619E-4,1.298420462E-3
7.880394167E-1,-7.794946432E-4,-4.963047337E-3,-6.638419582E-4,5.067557292E-3
7.980844167E-1,-1.287359511E-3,-1.119191572E-2,7.154091727E-4,1.128840477E-2
8.081294167E-1,-1.187490765E-3,-1.582116634E-2,-6.505245110E-4,1.587899936E-2
