"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.826374995E-3,2.862180471E-1,-3.437480889E-3,3.442473710E-1,4.477039638E-1
1.187237500E-2,1.323058009E-1,7.724402100E-2,3.253498375E-1,3.596164353E-1
2.191737499E-2,-2.604335919E-2,1.230088472E-1,3.629022837E-1,3.840670522E-1
3.196337500E-2,-1.047954485E-1,7.394630462E-2,4.551460445E-1,4.728721432E-1
4.200937500E-2,-1.058388725E-1,-1.087670587E-2,5.583710074E-1,5.684174097E-1
5.205437500E-2,-9.056203067E-2,-8.954483271E-2,6.145341992E-1,6.275922566E-1
6.210037500E-2,-8.479575813E-2,-2.078514993E-1,6.279381514E-1,6.668574723E-1
7.214537499E-2,-7.238047570E-2,-3.963698447E-1,6.962471008E-1,8.044302409E-1
8.219137500E-2,7.460843772E-2,-5.911385417E-1,9.104065299E-1,1.088049284E0
9.223737500E-2,1.143535674E-1,-5.701842308E-1,9.648776054E-1,1.126576934E0
1.022823750E-1,4.409059137E-2,-4.753088653E-1,8.593903184E-1,9.830636892E-1
1.123283750E-1,-5.650484189E-2,-4.863001108E-1,7.395910621E-1,8.869473119E-1
1.223733750E-1,-1.755092591E-1,-4.744261205E-1,7.267847657E-1,8.854940652E-1
1.324193750E-1,-3.071797192E-1,-3.975936174E-1,8.068144321E-1,9.504680912E-1
1.424653750E-1,-4.261692166E-1,-3.907844722E-1,8.972820044E-1,1.067449156E0
1.525103750E-1,-4.915229678E-1,-5.202118754E-1,9.046846628E-1,1.153546515E0
1.625563750E-1,-4.948290288E-1,-7.117226720E-1,8.199934959E-1,1.193228504E0
1.726023750E-1,-4.501150846E-1,-8.549296260E-1,6.896325350E-1,1.187055722E0
1.826473750E-1,-3.784211874E-1,-9.386258721E-1,5.578305721E-1,1.155593384E0
1.926933750E-1,-2.989702523E-1,-9.677430987E-1,4.607552886E-1,1.112746760E0
2.027383750E-1,-1.977339089E-1,-1.041633844E0,4.439763129E-1,1.149441051E0
2.127843750E-1,-3.715604544E-2,-1.156698942E0,4.664287865E-1,1.247753512E0
2.228303750E-1,1.245258003E-1,-1.164041996E0,4.934780002E-1,1.270441254E0
2.328753750E-1,2.554886937E-1,-1.105430841E0,5.346153378E-1,1.254219031E0
2.429213750E-1,3.579034805E-1,-1.010647058E0,5.700095296E-1,1.214254192E0
2.529663750E-1,4.079980254E-1,-9.038247466E-1,6.072066426E-1,1.162781780E0
2.630123750E-1,3.879334927E-1,-8.187825680E-1,6.443327069E-1,1.111783219E0
2.730583750E-1,3.205730617E-1,-7.777460217E-1,6.655591130E-1,1.072671849E0
2.831033750E-1,2.300721854E-1,-7.763292193E-1,6.679798961E-1,1.049674906E0
2.931493750E-1,1.560519934E-1,-7.718307376E-1,6.513898373E-1,1.021950895E0
3.031943750E-1,7.551188022E-2,-6.919543147E-1,6.309356689E-1,9.394586931E-1
3.132403750E-1,-2.955165692E-3,-5.323875546E-1,6.157199740E-1,8.139756309E-1
3.232863750E-1,-9.967717528E-2,-3.473665416E-1,6.325831413E-1,7.285331044E-1
3.333313750E-1,-2.094070464E-1,-2.189103961E-1,6.690969467E-1,7.344819921E-1
3.433773750E-1,-3.107738495E-1,-1.889120042E-1,7.096952796E-1,7.974556544E-1
3.534223750E-1,-4.109307528E-1,-2.154362053E-1,7.425820827E-1,8.756169206E-1
3.634683750E-1,-3.658495545E-1,1.688680649E-1,7.737181187E-1,8.723543128E-1
3.735143750E-1,-2.806876600E-1,5.127914995E-2,7.591923475E-1,8.110413887E-1
3.835593750E-1,-1.838394254E-1,-1.219925061E-1,7.075397968E-1,7.411421389E-1
3.936053750E-1,-8.419780433E-2,-9.578081965E-2,6.634842157E-1,6.756289960E-1
4.036513750E-1,-8.006101474E-3,-1.332514882E-1,6.227825880E-1,6.369287313E-1
4.136963750E-1,2.020632662E-2,-3.530124426E-1,5.140656829E-1,6.239307707E-1
4.237423750E-1,-3.244935768E-3,-4.483778477E-1,4.182758033E-1,6.131948072E-1
4.337873750E-1,-6.552381814E-2,-4.375281334E-1,3.631121218E-1,5.723413765E-1
4.438333750E-1,-1.533191949E-1,-3.908764720E-1,3.304687142E-1,5.343227143E-1
4.538793750E-1,-2.288329005E-1,-3.443339467E-1,2.955752611E-1,5.082274080E-1
4.639243750E-1,-2.859095037E-1,-2.948992848E-1,2.887780964E-1,5.020982190E-1
4.739703750E-1,-3.368007243E-1,-2.017763406E-1,3.155958652E-1,5.037352178E-1
4.840153750E-1,-4.155962169E-1,-5.771744624E-2,3.996596038E-1,5.794646823E-1
4.940613750E-1,-5.399739742E-1,2.623143606E-2,4.962151647E-1,7.338184181E-1
5.041073750E-1,-7.084569931E-1,-4.308238998E-2,5.553807616E-1,9.012298230E-1
5.141523750E-1,-9.229733348E-1,-3.865546882E-1,5.228895545E-1,1.129034007E0
5.241983750E-1,-1.151694894E0,-8.690419793E-1,4.394308627E-1,1.508222322E0
5.342433750E-1,-1.291144252E0,-9.440931082E-1,3.862470090E-1,1.645464077E0
5.442893750E-1,-1.275639892E0,-5.140818357E-1,3.734092414E-1,1.425121654E0
5.543353750E-1,-1.124271274E0,-1.306702197E-1,3.045207262E-1,1.172089363E0
5.643803750E-1,-9.482901096E-1,9.046482295E-2,2.044974416E-1,9.742983218E-1
5.744263750E-1,-8.045850396E-1,1.535088122E-1,1.598547548E-1,8.345511273E-1
5.844713750E-1,-7.015824914E-1,5.433720723E-2,1.639307141E-1,7.225259880E-1
5.945173750E-1,-5.992078781E-1,-2.947687805E-1,1.824605912E-1,6.922648211E-1
6.045633750E-1,-4.456175566E-1,-4.451686740E-1,2.311066985E-1,6.709399833E-1
6.146083750E-1,-2.523360550E-1,-4.035201371E-1,3.406174779E-1,5.852540063E-1
6.246543750E-1,6.371641532E-3,-3.748812973E-1,4.042044282E-1,5.513236841E-1
6.347003750E-1,2.766623795E-1,-5.143054724E-1,3.510670364E-1,6.813958139E-1
6.447453750E-1,4.596196711E-1,-7.348344326E-1,1.796092838E-1,8.851504845E-1
6.547913750E-1,6.514011621E-1,-8.334822059E-1,-8.072575927E-2,1.060911264E0
6.648363750E-1,9.005108476E-1,-1.036851883E0,-4.828148782E-1,1.455710074E0
6.748823750E-1,1.001727700E0,-1.374476314E0,-8.513753414E-1,1.901968321E0
6.849283750E-1,9.516064525E-1,-1.701650500E0,-9.885166883E-1,2.185940189E0
6.949733750E-1,9.323074222E-1,-1.732612371E0,-9.447485805E-1,2.182588518E0
7.050193750E-1,9.575017095E-1,-1.557109475E0,-7.375458479E-1,1.971135033E0
7.150643750E-1,9.420750737E-1,-1.413467407E0,-4.598352611E-1,1.759785221E0
7.251103750E-1,8.291852474E-1,-1.297462583E0,-2.296662331E-1,1.556824944E0
7.351563750E-1,6.288767457E-1,-1.175007343E0,-1.015315652E-1,1.336576551E0
7.452013750E-1,4.172260165E-1,-9.083892107E-1,-6.439218670E-2,1.001695992E0
7.552473750E-1,2.053507119E-1,-6.693446636E-1,-1.548643969E-2,7.003078062E-1
7.652923750E-1,2.573247254E-2,-6.259926558E-1,1.095608808E-2,6.266171088E-1
7.753383750E-1,-2.146782912E-2,-7.163020968E-1,8.648455143E-3,7.166759082E-1
7.853843750E-1,2.828987315E-2,-9.453635216E-1,4.715003818E-2,9.469612616E-1
7.954293750E-1,1.263100505E-1,-1.185197592E0,8.745193481E-2,1.195113133E0
8.054753750E-1,2.414936274E-1,-1.307152510E0,1.090299264E-1,1.333736998E0
8.155203750E-1,3.521063030E-1,-1.261886477E0,1.053122804E-1,1.314316175E0
8.255663750E-1,4.158312380E-1,-1.152008891E0,1.087389737E-1,1.229578899E0
8.356123750E-1,4.186629057E-1,-9.945930839E-1,1.773416251E-1,1.093592284E0
8.456573750E-1,3.607026935E-1,-9.144470692E-1,2.631960511E-1,1.017640426E0
8.557033750E-1,2.765340507E-1,-8.756367564E-1,3.140434027E-1,9.704813595E-1
8.657483750E-1,2.069251388E-1,-8.636442423E-1,3.260982037E-1,9.460652349E-1
8.757943750E-1,1.715775281E-1,-9.147202373E-1,3.002753854E-1,9.779147548E-1
8.858403750E-1,1.469866186E-1,-9.471579790E-1,2.361179739E-1,9.871499384E-1
8.958853750E-1,1.394615024E-1,-8.072396517E-1,1.542746276E-1,8.335982405E-1
9.059313750E-1,1.353285462E-1,-7.156767249E-1,4.337581620E-2,7.296495401E-1
9.159773750E-1,1.350941956E-1,-7.271549702E-1,-4.212350026E-2,7.407963159E-1
9.260223750E-1,1.589065939E-1,-7.128953338E-1,-8.449492604E-2,7.352621675E-1
9.360683750E-1,1.542633325E-1,-6.347060800E-1,-3.116808459E-2,6.539269326E-1
9.461137500E-1,1.845733076E-1,-5.671896338E-1,2.133240737E-2,5.968470979E-1
9.561597500E-1,3.003951907E-1,-5.844312310E-1,4.821250960E-2,6.588790333E-1
9.662057500E-1,4.030011892E-1,-6.405068040E-1,9.823147207E-2,7.630913095E-1
9.762507500E-1,4.150677025E-1,-5.931720138E-1,1.105677634E-1,7.323656641E-1
9.862967500E-1,3.531236351E-1,-4.972897172E-1,1.186603084E-1,6.213482383E-1
9.963417500E-1,2.723598182E-1,-3.736727536E-1,1.174753383E-1,4.770866299E-1
1.006387750E0,1.565709114E-1,-2.795044184E-1,1.049715281E-1,3.371293400E-1
1.016433750E0,2.220173739E-2,-1.894206256E-1,5.220350623E-2,1.977328920E-1
1.026478750E0,-9.359303862E-2,-1.086307019E-1,-6.793499924E-3,1.435494267E-1
1.036524750E0,-1.606994569E-1,-5.275526270E-2,-5.124734342E-2,1.767306521E-1
1.046569750E0,-1.804348230E-1,-4.391516373E-2,-7.195288688E-2,1.991544248E-1
1.056615750E0,-1.560812443E-1,-3.924528882E-2,-7.555486262E-2,1.777922518E-1
1.066661750E0,-9.634625912E-2,-8.301114291E-2,-7.156278193E-2,1.459269792E-1
1.076706750E0,-1.770410500E-2,-1.767464131E-1,-6.148652360E-2,1.879716002E-1
1.086752750E0,7.835318148E-2,-2.738122344E-1,-4.199830815E-2,2.878823000E-1
1.096797750E0,2.040657252E-1,-3.863736093E-1,-3.024194948E-2,4.379976731E-1
1.106843750E0,3.487693667E-1,-5.197820663E-1,-4.486776143E-2,6.275560403E-1
1.116889750E0,4.835977554E-1,-6.193549037E-1,-8.370078355E-2,7.902361084E-1
1.126934750E0,5.694338679E-1,-6.686553359E-1,-1.319293082E-1,8.881217431E-1
1.136980750E0,5.728707910E-1,-6.613223553E-1,-2.055438757E-1,8.987638653E-1
1.147025750E0,5.228699446E-1,-5.842651129E-1,-2.815622091E-1,8.330882178E-1
1.157071750E0,4.236243963E-1,-4.493723810E-1,-3.349315226E-1,7.025470025E-1
1.167117750E0,2.909462452E-1,-3.942052424E-1,-3.441665769E-1,5.987471281E-1
1.177162750E0,1.788866222E-1,-4.142903090E-1,-3.075897992E-1,5.461212029E-1
1.187208750E0,1.515191793E-1,-4.488269687E-1,-2.385225743E-1,5.303741396E-1
1.197253750E0,1.936858743E-1,-4.007925093E-1,-1.594717205E-1,4.728425563E-1
1.207299750E0,2.669001818E-1,-3.323910832E-1,-1.100567728E-1,4.402635943E-1
1.217345750E0,3.545197546E-1,-3.433060646E-1,-9.034495801E-2,5.017026229E-1
1.227390750E0,4.417214990E-1,-4.659747183E-1,-8.476670086E-2,6.476385677E-1
1.237436750E0,5.128979683E-1,-5.414366126E-1,-9.605430067E-2,7.519603447E-1
1.247482750E0,5.213218331E-1,-5.292779207E-1,-1.229082793E-1,7.530059868E-1
1.257527750E0,4.499492049E-1,-5.630244017E-1,-1.617231220E-1,7.386508865E-1
1.267573750E0,3.667632341E-1,-5.447623134E-1,-2.029017210E-1,6.873502429E-1
1.277618750E0,3.151735663E-1,-5.150165558E-1,-2.238525897E-1,6.439614985E-1
1.287664750E0,2.885946929E-1,-5.227162838E-1,-1.742288470E-1,6.219926859E-1
1.297710750E0,2.780154645E-1,-5.705307722E-1,-5.083869025E-2,6.366965784E-1
1.307755750E0,3.107747436E-1,-6.729248166E-1,1.034246460E-1,7.484019023E-1
1.317801750E0,2.995500267E-1,-3.965829909E-1,1.752393246E-1,5.269887172E-1
1.327846750E0,2.182024419E-1,-5.914449319E-2,1.769405603E-1,2.870859429E-1
1.337892750E0,1.023381278E-1,-1.637150533E-2,1.789799929E-1,2.068210735E-1
1.347938750E0,3.121658228E-4,-2.827450447E-2,2.021526843E-1,2.041206820E-1
1.357983750E0,-7.442826778E-2,3.475467209E-3,2.953269780E-1,3.045811383E-1
1.368029750E0,-1.078685150E-1,1.036000438E-2,4.448246062E-1,4.578338962E-1
1.378074750E0,-1.356641203E-1,-1.865031868E-1,6.102273464E-1,6.523538967E-1
1.388120750E0,-1.555821747E-1,-4.984882772E-1,7.355613112E-1,9.020791640E-1
1.398166750E0,-1.435307860E-1,-5.452405810E-1,8.022060394E-1,9.805217527E-1
1.408211750E0,-6.164551154E-2,-3.740059137E-1,8.134996891E-1,8.974755355E-1
1.418257750E0,3.219539672E-2,-1.433771700E-1,8.258250952E-1,8.387971413E-1
1.428302750E0,6.694139540E-2,-2.577969432E-2,8.464358449E-1,8.494700599E-1
1.438348750E0,-5.672305822E-3,-1.172487587E-1,8.295466304E-1,8.378108727E-1
1.448394750E0,-1.104852706E-1,-2.259006649E-1,6.911326051E-1,7.354606606E-1
1.458439750E0,-1.005110890E-1,-1.742014885E-1,5.361365080E-1,5.726176672E-1
1.468485750E0,-9.805416688E-3,-1.288800836E-1,5.156709552E-1,5.316227574E-1
1.478530750E0,7.765723765E-2,-1.956193298E-1,5.732760429E-1,6.106905846E-1
1.488576750E0,1.376318783E-1,-2.694115341E-1,5.947168469E-1,6.672430117E-1
1.498622750E0,1.012221649E-1,-2.956937850E-1,5.735265017E-1,6.531564814E-1
