"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.410833372E-4,-2.369584516E-3,-1.172477938E-2,-1.666050171E-3,1.207729711E-2
1.098608333E-2,4.128862638E-4,6.621144712E-4,-5.624361802E-4,9.618758218E-4
2.103208334E-2,-3.734864062E-3,-7.360732183E-3,3.338432871E-4,8.260813469E-3
3.107708333E-2,5.379116628E-4,8.644599468E-3,-2.310131676E-4,8.664399344E-3
4.112308333E-2,-3.745119087E-3,-8.181027137E-3,-7.399395108E-4,9.027880841E-3
5.116808334E-2,-9.136463050E-4,-5.334932357E-4,1.226538559E-3,1.619802902E-3
6.121408333E-2,1.996934414E-3,4.847272299E-3,-3.368664766E-4,5.253310844E-3
7.126008334E-2,3.444429021E-4,1.130031887E-3,3.973669372E-4,1.246400201E-3
8.130508333E-2,1.821792684E-4,2.113975585E-3,1.066747122E-3,2.374875045E-3
9.135108333E-2,-1.559261931E-3,-2.771327272E-3,1.542920480E-3,3.534424455E-3
1.013960833E-1,-1.998220338E-3,4.742066376E-4,8.129521739E-4,2.208766101E-3
1.114420833E-1,1.639998518E-4,1.447326038E-3,-4.038461484E-4,1.511535750E-3
1.214870833E-1,5.161722656E-4,1.584395301E-3,-9.359490359E-4,1.911215026E-3
1.315330833E-1,-5.136721302E-4,2.871695906E-4,-3.263514955E-4,6.729269869E-4
1.415780833E-1,4.237398971E-4,1.930598170E-3,7.478386397E-4,2.113297760E-3
1.516238333E-1,-5.560370628E-4,1.188108698E-3,5.118824774E-4,1.408120436E-3
1.616698333E-1,1.443599584E-3,1.887761056E-3,1.750783529E-3,2.951756177E-3
1.717148333E-1,-2.716790652E-3,-1.472077705E-2,1.888764650E-1,1.894687342E-1
1.817608333E-1,3.693237435E-3,8.417812176E-3,3.405328393E-1,3.406568863E-1
1.918058333E-1,2.174702939E-3,8.408757858E-3,3.916269243E-1,3.917232242E-1
2.018518333E-1,-9.349025786E-4,5.241623148E-3,3.482589424E-1,3.482996405E-1
2.118968333E-1,4.046806600E-3,1.667057909E-2,2.705169916E-1,2.710603763E-1
2.219428333E-1,-1.547476277E-4,1.430937089E-3,1.412004232E-1,1.412077585E-1
2.319888333E-1,-4.532718100E-3,-1.156155951E-2,-5.124346353E-5,1.241844667E-2
2.420338333E-1,3.809736110E-3,1.072768308E-2,-3.585747909E-4,1.138972561E-2
2.520798333E-1,-1.105926465E-3,-1.656015404E-3,-1.359345624E-4,1.995980603E-3
2.621248333E-1,7.289095083E-4,-8.846712299E-4,-1.788561349E-3,2.124359658E-3
2.721708333E-1,-9.078693110E-4,1.322556287E-3,-1.047936268E-3,1.916129495E-3
2.822158333E-1,1.590524102E-3,3.101455513E-3,2.016965067E-3,4.027026360E-3
2.922618333E-1,2.371056471E-4,1.708622091E-3,9.405151941E-4,1.964733408E-3
3.023068333E-1,-7.728796918E-4,1.457988285E-3,1.289252774E-3,2.094097794E-3
3.123528333E-1,-5.181476474E-3,-1.199177466E-2,2.352653071E-3,1.327348238E-2
3.223988333E-1,2.918040380E-3,5.052959546E-3,-1.101327594E-3,5.938036907E-3
3.324438333E-1,-5.893427879E-4,-5.192221608E-3,1.061497023E-4,5.226639256E-3
3.424898333E-1,1.619089628E-3,4.337490071E-3,6.904385518E-4,4.681023043E-3
3.525348333E-1,-8.744280785E-4,-4.197408911E-3,-2.604158130E-3,5.016423586E-3
3.625808333E-1,-4.771051463E-4,-3.265311942E-3,3.243936226E-4,3.315889416E-3
3.726258333E-1,-1.049152110E-3,-3.044003621E-3,-5.384704564E-4,3.264449207E-3
3.826718333E-1,-4.666366149E-4,-1.615842339E-3,-1.327963080E-3,2.142937735E-3
3.927178333E-1,-1.354800770E-3,-1.515973825E-3,2.448998857E-4,2.047837327E-3
4.027628333E-1,-6.646898109E-4,-2.856040373E-4,-4.559146473E-4,8.551259419E-4
4.128088333E-1,5.819357466E-4,3.176019527E-4,2.306483220E-4,7.019393578E-4
4.228538333E-1,5.605979823E-5,8.494406939E-5,3.369105980E-4,3.519473639E-4
4.328998333E-1,-6.777723320E-5,-1.242375001E-3,1.801915467E-3,2.189746274E-3
4.429448333E-1,-8.054070640E-4,-6.802021526E-4,-1.483625034E-3,1.820027128E-3
4.529908333E-1,-5.595975090E-4,-1.145456452E-3,-1.026892918E-3,1.636987758E-3
4.630358333E-1,9.497045539E-5,1.633882057E-3,-3.272790927E-4,1.669042111E-3
4.730818333E-1,3.439760767E-4,-3.072964028E-4,-3.912497777E-5,4.629053730E-4
4.831278333E-1,3.045937046E-4,4.297234118E-4,-1.690873178E-4,5.531998342E-4
4.931728333E-1,7.131226594E-4,1.097910106E-3,3.443701426E-4,1.353713900E-3
5.032188333E-1,3.257486969E-5,-1.446716487E-4,-1.093873521E-3,1.103879653E-3
5.132638333E-1,-8.513282519E-4,-5.582608283E-4,-1.926599070E-4,1.036114272E-3
5.233098333E-1,1.166714355E-5,3.224066459E-4,7.570257876E-4,8.229035245E-4
5.333548333E-1,4.239245318E-4,-9.729550220E-4,-1.581762335E-3,1.904816413E-3
5.434008333E-1,-1.791955438E-4,5.077514797E-4,8.069563191E-4,9.701036589E-4
5.534458333E-1,5.110957427E-4,-3.191595897E-4,-8.053213824E-4,1.005795323E-3
5.634918333E-1,5.522888387E-4,-3.050337546E-4,1.487596892E-4,6.482268105E-4
5.735378333E-1,-5.742283538E-4,1.148785464E-3,-1.553000184E-3,2.015255769E-3
5.835828333E-1,4.641381092E-4,-1.351655927E-3,-1.369974343E-4,1.435676226E-3
5.936288333E-1,-1.019508811E-3,4.542330280E-4,-3.686256241E-5,1.116729469E-3
6.036738333E-1,-1.266701147E-4,9.619304910E-5,-9.142397903E-4,9.279724214E-4
6.137198333E-1,-1.130681951E-3,-1.879665069E-4,6.399811246E-4,1.312763848E-3
6.237648333E-1,-7.731828373E-4,4.306025803E-4,2.253253479E-4,9.132369870E-4
6.338108333E-1,-1.741774380E-3,-9.941882454E-4,9.310632013E-4,2.211123457E-3
6.438568333E-1,-7.991283201E-5,-6.468608044E-4,9.357240051E-4,1.140348357E-3
6.539018333E-1,1.127830707E-3,-8.391416632E-4,3.005601466E-4,1.437531647E-3
6.639478333E-1,3.079278395E-5,-6.534270942E-4,-1.058318885E-3,1.244168005E-3
6.739928333E-1,-2.653507981E-4,1.080556773E-3,8.817203343E-5,1.116148867E-3
6.840388333E-1,7.944846293E-4,-5.763783120E-4,6.500445306E-5,9.836886518E-4
6.940838333E-1,5.812058225E-5,7.852958515E-4,-5.081079435E-4,9.371452709E-4
7.041298333E-1,-5.331828725E-4,-9.310203604E-4,1.197779085E-3,1.608029112E-3
7.141748333E-1,-2.980257850E-4,-5.501885898E-4,-5.540482234E-4,8.357609029E-4
7.242208333E-1,1.416648156E-3,9.035225958E-6,1.596800284E-4,1.425647693E-3
7.342668333E-1,1.476006582E-5,4.857410677E-4,-4.560428206E-4,6.664362675E-4
7.443118333E-1,6.359160179E-4,-1.050638035E-3,-5.950557534E-5,1.229540717E-3
7.543578333E-1,-6.788866594E-4,-7.760664448E-4,5.764572416E-4,1.181299782E-3
7.644028333E-1,1.651397906E-5,-3.930521198E-4,9.289281443E-4,1.008796400E-3
7.744488333E-1,8.428927977E-4,1.128411852E-3,2.495558001E-4,1.430405423E-3
7.844938333E-1,-4.718322307E-4,6.111059338E-5,5.964381853E-4,7.629539091E-4
7.945398333E-1,3.169961274E-4,1.248614397E-3,2.891861368E-5,1.288549861E-3
8.045858333E-1,1.181360218E-3,-1.240479294E-3,7.898523472E-5,1.714829295E-3
8.146308333E-1,8.697704179E-4,6.578215398E-4,-1.007850980E-3,1.484922004E-3
8.246768333E-1,-1.010668930E-4,5.691070110E-4,-7.467296673E-4,9.443000068E-4
8.347218333E-1,-7.603317499E-5,6.274301559E-4,4.215990193E-4,7.597337542E-4
8.447678333E-1,-6.623673253E-4,-7.352870889E-4,-7.491238648E-4,1.241194643E-3
8.548128333E-1,-3.501307219E-6,-2.940013073E-4,-4.077065969E-4,5.026665863E-4
8.648588333E-1,3.801949788E-4,-7.107341662E-5,3.062869655E-4,4.933673658E-4
8.749038333E-1,-1.175623620E-3,2.218740992E-4,7.446432719E-4,1.409188637E-3
8.849498333E-1,6.063674809E-4,4.677441902E-4,-1.073497813E-3,1.318659814E-3
8.949958333E-1,-9.076395072E-4,-1.644901931E-4,-4.170285538E-4,1.012313841E-3
9.050408333E-1,-5.521406420E-4,1.076952089E-3,-7.110419683E-4,1.403661558E-3
9.150868333E-1,6.757699884E-5,-1.728954259E-3,-1.166244037E-4,1.734200315E-3
9.251318333E-1,-4.759249277E-4,-3.307438456E-4,5.042918492E-4,7.682488512E-4
9.351778333E-1,-1.492719632E-3,-6.127725355E-4,9.477082640E-4,1.871323872E-3
9.452228333E-1,-2.706113737E-4,-3.290735185E-4,9.984415956E-4,1.085543880E-3
9.552688333E-1,-5.747445393E-4,6.640190259E-4,-4.255507374E-4,9.758821560E-4
9.653138333E-1,3.293822519E-4,-1.758709550E-4,4.140106030E-4,5.575195423E-4
9.753598333E-1,4.436317831E-4,-1.155352220E-5,1.483536093E-3,1.548490226E-3
9.854058333E-1,3.973788116E-4,9.229872376E-5,8.032277692E-4,9.008905725E-4
9.954508333E-1,-3.094242420E-4,1.777280588E-3,-2.335407771E-4,1.819068702E-3
1.005496833E0,4.166357685E-4,-1.906761434E-3,-3.809448099E-4,1.988578255E-3
1.015541833E0,8.400783408E-4,-8.870377205E-4,6.718026707E-4,1.394233253E-3
1.025587833E0,-6.579544861E-4,7.789554074E-4,6.877848646E-4,1.229928312E-3
1.035632833E0,-8.792630397E-4,4.945294932E-4,5.688203964E-5,1.010395209E-3
1.045678833E0,-3.623925149E-4,1.184404828E-4,3.363804426E-4,5.084371003E-4
1.055723833E0,-4.068273120E-5,5.464102142E-4,-3.925267374E-4,6.740151677E-4
1.065769833E0,-8.340219501E-4,-2.933559008E-4,1.029545674E-4,8.900842324E-4
1.075815833E0,2.402970567E-4,8.659181185E-4,5.102285650E-5,9.000889930E-4
1.085860833E0,-4.137544893E-4,3.671161830E-4,6.650113501E-4,8.649896907E-4
1.095906833E0,-1.170781907E-4,-6.779078394E-4,4.197342787E-4,8.058803920E-4
1.105951833E0,6.283260882E-5,1.643379219E-4,7.319923025E-4,7.528397042E-4
1.115997833E0,-3.771216143E-4,1.965621486E-4,1.104103867E-4,4.393721017E-4
1.126042833E0,8.075293154E-4,1.604137942E-3,1.266355510E-3,2.197502767E-3
1.136088833E0,-2.279076725E-4,-3.122724593E-4,9.430475766E-4,1.019212798E-3
1.146133750E0,-1.186151057E-4,2.423804253E-4,1.026405836E-3,1.061285426E-3
1.156179750E0,6.514298730E-5,-4.889238626E-4,-5.744204391E-4,7.571320843E-4
1.166225750E0,4.923020024E-4,-1.102097798E-3,4.483641824E-4,1.287637860E-3
1.176270750E0,8.006960852E-4,7.615825161E-4,2.430345630E-4,1.131453909E-3
1.186316750E0,1.133472309E-3,8.395011537E-4,5.278614117E-4,1.506040947E-3
1.196361750E0,5.710127298E-4,-1.013526693E-3,8.050965844E-4,1.414734040E-3
1.206407750E0,-1.811750233E-3,-1.020492055E-4,2.040206455E-4,1.826055139E-3
1.216452750E0,-5.515425000E-4,6.383094005E-4,-1.033816487E-3,1.334321756E-3
1.226498750E0,-8.769151755E-4,-3.758422099E-4,-6.761533441E-4,1.169367751E-3
1.236543750E0,2.642907202E-5,-7.659955882E-4,1.014687587E-3,1.271628340E-3
1.246589750E0,-6.034576800E-4,-2.771674190E-3,1.323480508E-3,3.130166072E-3
1.256635750E0,4.610079341E-4,7.689986378E-4,3.644762328E-4,9.678482032E-4
1.266680750E0,2.010178287E-4,5.129678175E-5,8.068268653E-4,8.330720964E-4
1.276726750E0,2.813845174E-3,-7.335371338E-4,4.459684715E-4,2.941885326E-3
1.286771750E0,1.136233448E-3,-8.512367494E-4,-1.464448636E-3,2.039666703E-3
1.296817750E0,2.571677323E-3,-1.652049366E-3,-7.168994052E-4,3.139543935E-3
1.306862750E0,3.054861212E-3,-1.794539858E-3,6.315908395E-4,3.598813320E-3
1.316908750E0,5.024535116E-3,-1.402256545E-3,-5.886695581E-4,5.249648407E-3
1.326954750E0,-2.492106054E-3,5.812263116E-4,2.182692988E-4,2.568279209E-3
1.336999750E0,-2.040167805E-3,2.231320832E-3,-5.923199933E-5,3.024001613E-3
1.347045750E0,5.951286294E-4,-1.024024095E-3,-1.247001812E-3,1.719830501E-3
1.357090750E0,-3.606798127E-4,2.020178363E-5,-1.017170958E-3,1.079414099E-3
1.367136750E0,5.030647153E-4,-1.778056379E-3,-1.196535071E-3,2.201421080E-3
1.377181750E0,1.769397873E-3,1.480587292E-3,-3.421929432E-4,2.332381524E-3
1.387227750E0,1.168794115E-3,-1.262901817E-3,2.700665500E-4,1.741819917E-3
1.397272750E0,2.183724893E-3,-2.136160620E-4,-1.714855898E-4,2.200839281E-3
1.407318750E0,1.237896155E-3,2.328762785E-4,7.432454731E-5,1.261801248E-3
1.417364750E0,6.999375764E-4,-8.481005207E-4,1.564096776E-3,1.911958637E-3
1.427409750E0,1.374152023E-3,2.173259854E-4,1.174687641E-4,1.396181678E-3
1.437455750E0,2.425748389E-4,-1.107756980E-4,-1.699073357E-3,1.719873274E-3
1.447500750E0,7.558311336E-5,-9.774821810E-4,8.925807197E-4,1.325852391E-3
1.457546750E0,-9.990024846E-4,-5.694571882E-6,-1.976176398E-3,2.214342238E-3
1.467591750E0,3.247288987E-6,3.042141907E-4,1.217216719E-3,1.254660655E-3
1.477637750E0,-2.383012325E-4,-1.519853249E-4,2.981598955E-4,4.108361470E-4
1.487682750E0,1.434991136E-3,2.810880542E-4,-1.378828310E-3,2.009820282E-3
1.497728750E0,-4.441353958E-4,3.316877410E-4,1.324013923E-3,1.435369596E-3
1.507774750E0,4.292835947E-4,-1.512388233E-3,-1.441679895E-3,2.133083095E-3
