"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.610561600E-2,2.595000155E-2,-1.189050078E0,9.706050873E0,9.778646994E0
2.089892400E-2,-7.050000131E-3,-1.206000090E0,9.721950531E0,9.796469162E0
2.569361600E-2,2.595000155E-2,-1.182000041E0,9.784950256E0,9.856117340E0
3.048569500E-2,2.100000158E-2,-1.179000020E0,9.780000687E0,9.850832223E0
3.527922200E-2,2.100000158E-2,-1.179000020E0,9.766050339E0,9.836982325E0
4.007268300E-2,2.805000171E-2,-1.177050114E0,9.787050247E0,9.857615651E0
4.486714500E-2,1.395000052E-2,-1.167000055E0,9.781949997E0,9.851326280E0
4.965946900E-2,3.795000166E-2,-1.171950102E0,9.778050423E0,9.848105265E0
5.445277500E-2,7.605000585E-2,-1.170000076E0,9.751049995E0,9.821286056E0
5.924623700E-2,6.900000572E-2,-1.183950067E0,9.739050865E0,9.810994369E0
6.404070200E-2,1.120500043E-1,-1.186050057E0,9.756000519E0,9.828469671E0
6.883301200E-2,6.599999964E-2,-1.195950031E0,9.790050507E0,9.863049295E0
7.362631800E-2,6.900000572E-2,-1.179000020E0,9.772950172E0,9.844051865E0
7.841977900E-2,1.069500074E-1,-1.201050043E0,9.756000519E0,9.830234261E0
8.321431800E-2,1.050000042E-1,-1.186050057E0,9.760950089E0,9.833304957E0
8.800655000E-2,1.189500093E-1,-1.210050106E0,9.768000603E0,9.843383876E0
9.279984200E-2,1.360500008E-1,-1.201050043E0,9.742050171E0,9.816749581E0
9.759330400E-2,1.170000061E-1,-1.179000020E0,9.754050255E0,9.825743047E0
1.023878420E-1,1.120500043E-1,-1.201050043E0,9.792000771E0,9.866020246E0
1.071800940E-1,9.000000358E-2,-1.194000006E0,9.778050423E0,9.851091619E0
1.119734000E-1,8.295000345E-2,-1.215000033E0,9.754050255E0,9.829781389E0
1.167668610E-1,8.595000207E-2,-1.206000090E0,9.757950783E0,9.832569710E0
1.215614040E-1,8.805000782E-2,-1.207950115E0,9.766050339E0,9.840865587E0
1.263537130E-1,8.595000207E-2,-1.213050008E0,9.748950005E0,9.824505276E0
1.311471730E-1,7.800000161E-2,-1.203000069E0,9.754050255E0,9.828264828E0
1.359404160E-1,5.205000192E-2,-1.201050043E0,9.757950783E0,9.831725886E0
1.407349520E-1,5.205000192E-2,-1.186050057E0,9.772950172E0,9.844794514E0
1.455272620E-1,7.050000131E-3,-1.186050057E0,9.780000687E0,9.851658636E0
1.503207210E-1,1.605000161E-2,-1.182000041E0,9.766050339E0,9.837333019E0
1.551140290E-1,4.695000127E-2,-1.158000112E0,9.772950172E0,9.841428943E0
1.599084810E-1,7.800000161E-2,-1.162050009E0,9.756000519E0,9.825273042E0
1.647007900E-1,6.195000187E-2,-1.183950067E0,9.742050171E0,9.813924653E0
1.694942500E-1,3.795000166E-2,-1.171950102E0,9.768000603E0,9.838127008E0
1.742875630E-1,3.795000166E-2,-1.174050093E0,9.763050079E0,9.833462293E0
1.790822550E-1,4.005000368E-2,-1.146000028E0,9.756000519E0,9.823159685E0
1.838743340E-1,4.305000231E-2,-1.186050057E0,9.751049995E0,9.823010946E0
1.886678020E-1,3.795000166E-2,-1.186050057E0,9.778050423E0,9.849793146E0
1.934611100E-1,3.495000303E-2,-1.183950067E0,9.769950867E0,9.841488668E0
1.982558030E-1,3.795000166E-2,-1.177050114E0,9.772950172E0,9.843649844E0
2.030478720E-1,4.305000231E-2,-1.171950102E0,9.754050255E0,9.824297263E0
2.078414090E-1,3.299999982E-2,-1.179000020E0,9.768000603E0,9.838951459E0
2.126348700E-1,5.700000376E-2,-1.189050078E0,9.775050163E0,9.847268392E0
2.174293360E-1,3.495000303E-2,-1.155000091E0,9.772950172E0,9.841026460E0
2.222214150E-1,3.795000166E-2,-1.155000091E0,9.792000771E0,9.859956618E0
2.270149510E-1,6.599999964E-2,-1.162050009E0,9.781949997E0,9.850952338E0
2.318084040E-1,6.195000187E-2,-1.158000112E0,9.772950172E0,9.841511933E0
2.366028660E-1,4.995000362E-2,-1.159950018E0,9.775050163E0,9.843758669E0
2.413951750E-1,5.205000192E-2,-1.170000076E0,9.766050339E0,9.836023007E0
2.461884660E-1,3.299999982E-2,-1.179000020E0,9.781949997E0,9.852800403E0
2.509819270E-1,5.205000192E-2,-1.159950018E0,9.769950867E0,9.838705869E0
2.557764660E-1,3.795000166E-2,-1.167000055E0,9.769950867E0,9.839475051E0
2.605687040E-1,4.305000231E-2,-1.159950018E0,9.748950005E0,9.817808490E0
2.653620090E-1,5.205000192E-2,-1.174050093E0,9.742050171E0,9.812677736E0
2.701554710E-1,4.005000368E-2,-1.170000076E0,9.756000519E0,9.825988515E0
2.749499940E-1,3.299999982E-2,-1.171950102E0,9.751049995E0,9.821279553E0
2.797422270E-1,3.495000303E-2,-1.171950102E0,9.778050423E0,9.848094161E0
2.845355330E-1,4.005000368E-2,-1.170000076E0,9.756000519E0,9.825988515E0
2.893289940E-1,1.605000161E-2,-1.167000055E0,9.769950867E0,9.839414956E0
2.941235330E-1,3.495000303E-2,-1.162050009E0,9.780000687E0,9.848857556E0
2.989158430E-1,5.400000140E-2,-1.174050093E0,9.757950783E0,9.828474607E0
3.037090660E-1,3.795000166E-2,-1.177050114E0,9.769950867E0,9.840672086E0
3.085025280E-1,3.495000303E-2,-1.153050065E0,9.778050423E0,9.845862889E0
3.132970660E-1,4.305000231E-2,-1.159950018E0,9.793950081E0,9.862494387E0
3.180893710E-1,1.605000161E-2,-1.147950053E0,9.775050163E0,9.842238192E0
3.228828310E-1,1.905000024E-2,-1.174050093E0,9.778050423E0,9.848300696E0
