"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.844083334E-3,-8.692527190E-3,-2.064850181E-3,-6.894944236E-4,8.960973037E-3
1.488308333E-2,-8.550580591E-3,-1.565241255E-3,-1.395498402E-3,8.803966403E-3
2.492208333E-2,-8.057152852E-3,-4.813331179E-3,-3.771766322E-3,1.011494391E-2
3.496108333E-2,-7.985780016E-3,-3.482755274E-4,-3.501455532E-3,8.726635614E-3
4.500108333E-2,-7.262189873E-3,-4.201100208E-3,-6.340026855E-3,1.051592056E-2
5.504008333E-2,-6.992411334E-3,-2.107588574E-3,-5.747207440E-3,9.293338433E-3
6.507908333E-2,-6.191470660E-3,-2.686943859E-3,-6.700665224E-3,9.510672462E-3
7.511808333E-2,-8.856762201E-3,-3.416916355E-3,-9.970760904E-3,1.376712123E-2
8.515708333E-2,-6.191101857E-3,-3.865965642E-3,-9.628244676E-3,1.208215743E-2
9.519608333E-2,-5.293882918E-3,-2.283514477E-3,-1.020295452E-2,1.171921139E-2
1.052350833E-1,-5.860500038E-3,-1.546660438E-3,-1.288046222E-2,1.423530563E-2
1.152740833E-1,-5.344645586E-3,-7.413197309E-4,-1.167484932E-2,1.286145007E-2
1.253140833E-1,-4.717272706E-3,-1.594398171E-3,-1.307596080E-2,1.399198049E-2
1.353530833E-1,-4.464272410E-3,-2.431428991E-3,-1.300884876E-2,1.396680784E-2
1.453920833E-1,-4.690769129E-3,-9.234296158E-4,-1.177256368E-2,1.270626983E-2
1.554310833E-1,-6.356043741E-3,-1.207321882E-3,-1.286339480E-2,1.439874453E-2
1.654700833E-1,-8.556716144E-3,-3.042034805E-4,-9.952326305E-3,1.312854637E-2
1.755090833E-1,-5.948416423E-3,-3.165770322E-3,-1.195715368E-2,1.372513329E-2
1.855480833E-1,-7.402967662E-3,-1.947572455E-3,-1.045404468E-2,1.295700655E-2
1.955870833E-1,-8.668768220E-3,3.051953390E-4,-1.017894037E-2,1.337353782E-2
2.056270833E-1,-7.924541831E-3,-2.330949530E-3,-1.313793194E-2,1.551892214E-2
2.156660833E-1,-8.806315251E-3,-5.293209106E-4,-1.335631125E-2,1.600694909E-2
2.257050833E-1,-6.490635686E-3,-4.195179790E-4,-1.276302710E-2,1.432477601E-2
2.357440833E-1,-7.821950130E-3,8.071335033E-4,-1.380032860E-2,1.588343281E-2
2.457830833E-1,-7.743736729E-3,-7.316451520E-4,-1.594056003E-2,1.773702955E-2
2.558220833E-1,-8.525640704E-3,-4.561431706E-5,-1.744684391E-2,1.941857339E-2
2.658610833E-1,-7.618902251E-3,1.040026546E-4,-1.960775256E-2,2.103621754E-2
2.759010833E-1,-8.199204691E-3,-5.765073001E-5,-2.170312777E-2,2.320034561E-2
2.859400833E-1,-8.842847310E-3,2.106428146E-4,-2.129662968E-2,2.306050205E-2
2.959787917E-1,-6.313908845E-3,-1.148634590E-3,-1.837034896E-2,1.945904744E-2
3.060177917E-1,-6.235909648E-3,-1.447618008E-3,-1.796981879E-2,1.907607282E-2
3.160567917E-1,-3.674214706E-3,8.959639817E-4,-1.696900278E-2,1.738532889E-2
3.260957917E-1,-3.020933131E-3,-7.517468184E-4,-1.753935963E-2,1.781348636E-2
3.361347917E-1,-2.443293575E-3,-1.048689708E-3,-1.667330042E-2,1.688396815E-2
3.461737917E-1,-1.263188664E-3,-8.600549772E-4,-1.613488048E-2,1.620708821E-2
3.562137917E-1,-1.085289405E-3,-1.267785206E-3,-1.470156573E-2,1.479598484E-2
3.662527917E-1,-5.207111826E-4,-2.167355269E-3,-1.463161595E-2,1.480043088E-2
3.762917917E-1,1.059342292E-3,-1.824073493E-3,-1.524760574E-2,1.539282076E-2
3.863307917E-1,1.518749399E-3,-2.601762302E-3,-1.612662338E-2,1.640560113E-2
3.963697917E-1,3.142212518E-3,-2.882726490E-3,-1.469570771E-2,1.530187690E-2
4.064087917E-1,3.679638263E-3,-2.673401497E-3,-1.681052335E-2,1.741495072E-2
4.164477917E-1,5.147838965E-3,-3.057695925E-3,-1.621051319E-2,1.728092845E-2
4.264867917E-1,4.929633811E-3,-4.718700424E-3,-1.795029826E-2,1.920366192E-2
4.365267917E-1,8.208251558E-3,-4.716835916E-3,-1.694628596E-2,1.941135087E-2
4.465657917E-1,7.083239034E-3,-6.031345576E-3,-1.819152012E-2,2.043234713E-2
4.566047917E-1,6.931971759E-3,-6.243066862E-3,-1.779311150E-2,2.009036917E-2
4.666437917E-1,8.740372956E-3,-7.660221308E-3,-1.587151550E-2,1.967175930E-2
4.766827917E-1,8.669266477E-3,-8.142519742E-3,-1.486990042E-2,1.904129059E-2
4.867217917E-1,9.482912719E-3,-7.111767307E-3,-1.195816137E-2,1.683747283E-2
