"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.289074600E-2,-3.244999796E-2,8.896250278E-2,4.399999976E-3,9.479815013E-2
2.528866900E-2,-2.144999988E-2,5.115000159E-2,4.399999976E-3,5.563978035E-2
2.768651700E-2,-6.874999963E-3,1.443750039E-2,4.399999976E-3,1.658514521E-2
3.008559200E-2,6.599999964E-3,-1.484999992E-2,1.924999990E-3,1.636423301E-2
3.248251700E-2,1.512499992E-2,-3.932499886E-2,4.399999976E-3,4.236249706E-2
3.488059200E-2,2.007500082E-2,-5.032499880E-2,3.162499983E-3,5.427349784E-2
3.727844500E-2,2.131249942E-2,-5.279999971E-2,1.924999990E-3,5.697164405E-2
3.967636700E-2,1.883750036E-2,-4.908749834E-2,3.162499983E-3,5.267290878E-2
4.207421500E-2,1.512499992E-2,-3.313750029E-2,3.162499983E-3,3.656310919E-2
4.447229000E-2,9.074999951E-3,-1.979999989E-2,3.162499983E-3,2.200902147E-2
4.687013800E-2,1.787499990E-3,-6.324999966E-3,4.399999976E-3,7.909537317E-3
4.926928400E-2,-1.924999990E-3,4.674999975E-3,5.637499969E-3,7.572493356E-3
5.166613200E-2,-8.112499490E-3,1.938750036E-2,5.637499969E-3,2.175934797E-2
5.406405300E-2,-8.112499490E-3,2.296249941E-2,3.162499983E-3,2.455789961E-2
5.646189900E-2,-8.112499490E-3,2.419999987E-2,4.399999976E-3,2.590005099E-2
5.885997600E-2,-5.637499969E-3,2.172499895E-2,3.162499983E-3,2.266623902E-2
6.125784300E-2,-3.162499983E-3,1.443750039E-2,5.637499969E-3,1.581847747E-2
6.365576400E-2,-6.874999963E-4,7.149999961E-3,4.399999976E-3,8.423488320E-3
6.605384100E-2,1.787499990E-3,-1.374999993E-3,3.162499983E-3,3.884222874E-3
6.845291800E-2,5.362499971E-3,-8.799999952E-3,4.399999976E-3,1.120519544E-2
7.084961200E-2,6.599999964E-3,-1.127499994E-2,4.399999976E-3,1.378570357E-2
7.324768700E-2,6.599999964E-3,-1.361249946E-2,3.162499983E-3,1.545514630E-2
7.564561000E-2,9.074999951E-3,-1.237499993E-2,3.162499983E-3,1.566836474E-2
7.804345900E-2,6.599999964E-3,-8.799999952E-3,3.162499983E-3,1.144558451E-2
8.044153400E-2,2.887499984E-3,-5.087499972E-3,3.162499983E-3,6.649941223E-3
8.283945900E-2,2.887499984E-3,-1.374999993E-3,4.399999976E-3,5.439511093E-3
8.523728100E-2,1.787499990E-3,9.624999948E-4,5.637499969E-3,5.991908574E-3
8.763658600E-2,-6.874999963E-4,4.674999975E-3,4.399999976E-3,6.456646250E-3
9.003328100E-2,-6.874999963E-4,2.199999988E-3,4.399999976E-3,4.967157737E-3
9.243112500E-2,5.499999970E-4,3.437499981E-3,3.162499983E-3,4.703223603E-3
9.482920200E-2,5.499999970E-4,-1.374999993E-3,4.399999976E-3,4.642534304E-3
9.722713100E-2,1.787499990E-3,-2.612499986E-3,4.399999976E-3,5.420360890E-3
9.962497700E-2,2.887499984E-3,-3.849999979E-3,4.399999976E-3,6.520748100E-3
1.020230520E-1,2.887499984E-3,-5.087499972E-3,3.162499983E-3,6.649941223E-3
1.044209770E-1,1.787499990E-3,-7.562499959E-3,3.162499983E-3,8.389753750E-3
1.068200520E-1,1.787499990E-3,-7.562499959E-3,3.162499983E-3,8.389753750E-3
1.092169000E-1,1.787499990E-3,-3.849999979E-3,3.162499983E-3,5.293303524E-3
1.116148210E-1,1.787499990E-3,-2.612499986E-3,4.399999976E-3,5.420360890E-3
1.140126670E-1,2.887499984E-3,-1.374999993E-3,4.399999976E-3,5.439511093E-3
1.164107440E-1,5.499999970E-4,-2.749999985E-4,3.162499983E-3,3.221727974E-3
1.188086690E-1,5.499999970E-4,-1.374999993E-3,1.924999990E-3,2.428734225E-3
1.212065060E-1,1.787499990E-3,-2.612499986E-3,3.162499983E-3,4.474563502E-3
1.236045810E-1,1.787499990E-3,-3.849999979E-3,3.162499983E-3,5.293303524E-3
1.260036570E-1,1.787499990E-3,-5.087499972E-3,4.399999976E-3,6.959727866E-3
1.284003520E-1,1.787499990E-3,-2.612499986E-3,4.399999976E-3,5.420360890E-3
1.307984270E-1,2.887499984E-3,-5.087499972E-3,4.399999976E-3,7.319857370E-3
1.331963650E-1,1.787499990E-3,-3.849999979E-3,4.399999976E-3,6.113726838E-3
1.355944420E-1,5.499999970E-4,-3.849999979E-3,4.399999976E-3,5.872393007E-3
1.379922900E-1,1.787499990E-3,-3.849999979E-3,3.162499983E-3,5.293303524E-3
1.403902110E-1,5.499999970E-4,-3.849999979E-3,4.399999976E-3,5.872393007E-3
1.427882880E-1,1.787499990E-3,-3.849999979E-3,4.399999976E-3,6.113726838E-3
1.451871430E-1,5.499999970E-4,-2.612499986E-3,3.162499983E-3,4.138727137E-3
1.475840680E-1,5.499999970E-4,-2.612499986E-3,4.399999976E-3,5.146615972E-3
1.499819120E-1,5.499999970E-4,-1.374999993E-3,3.162499983E-3,3.492066883E-3
1.523799890E-1,5.499999970E-4,-1.374999993E-3,4.399999976E-3,4.642534304E-3
1.547779140E-1,5.499999970E-4,-2.749999985E-4,4.399999976E-3,4.442760942E-3
1.571757410E-1,5.499999970E-4,-3.849999979E-3,5.637499969E-3,6.848825136E-3
1.595738160E-1,1.787499990E-3,-1.374999993E-3,3.162499983E-3,3.884222874E-3
1.619717410E-1,-6.874999963E-4,-1.374999993E-3,3.162499983E-3,3.516345740E-3
1.643708160E-1,-6.874999963E-4,-2.749999985E-4,4.399999976E-3,4.461869679E-3
1.667676650E-1,-6.874999963E-4,-2.749999985E-4,4.399999976E-3,4.461869679E-3
1.691656050E-1,5.499999970E-4,2.199999988E-3,3.162499983E-3,3.891517196E-3
1.715634510E-1,5.499999970E-4,9.624999948E-4,4.399999976E-3,4.537499975E-3
1.739615280E-1,-6.874999963E-4,9.624999948E-4,3.162499983E-3,3.376458000E-3
1.763594530E-1,-6.874999963E-4,-2.749999985E-4,3.162499983E-3,3.248028230E-3
1.787572990E-1,5.499999970E-4,-2.749999985E-4,4.399999976E-3,4.442760942E-3
1.811553930E-1,-6.874999963E-4,-2.612499986E-3,1.924999990E-3,3.317142955E-3
1.835544700E-1,-6.874999963E-4,2.199999988E-3,3.162499983E-3,3.913318583E-3
1.859511640E-1,-6.874999963E-4,9.624999948E-4,4.399999976E-3,4.556211395E-3
1.883492390E-1,-1.924999990E-3,4.674999975E-3,3.162499983E-3,5.963443289E-3
1.907471620E-1,5.499999970E-4,2.199999988E-3,4.399999976E-3,4.949999973E-3
1.931450200E-1,-6.874999963E-4,3.437499981E-3,1.924999990E-3,3.999335861E-3
1.955430950E-1,-6.874999963E-4,-2.749999985E-4,4.399999976E-3,4.461869679E-3
1.979409430E-1,-6.874999963E-4,8.387500420E-3,3.162499983E-3,8.990229457E-3
2.003390950E-1,-6.874999963E-4,2.199999988E-3,3.162499983E-3,3.913318583E-3
2.027379410E-1,-6.874999963E-4,3.437499981E-3,3.162499983E-3,4.721278271E-3
2.051348090E-1,-6.874999963E-4,9.624999948E-4,4.399999976E-3,4.556211395E-3
2.075329600E-1,-6.874999963E-4,2.199999988E-3,5.637499969E-3,6.090489479E-3
2.099308090E-1,5.499999970E-4,9.624999948E-4,3.162499983E-3,3.351165824E-3
2.123286550E-1,-6.874999963E-4,2.199999988E-3,4.399999976E-3,4.967157737E-3
2.147265760E-1,-6.874999963E-4,-2.749999985E-4,1.924999990E-3,2.062499989E-3
2.171246290E-1,-6.874999963E-4,9.624999948E-4,1.924999990E-3,2.259355537E-3
2.195225540E-1,-1.924999990E-3,9.624999948E-4,4.399999976E-3,4.898166084E-3
2.219216290E-1,5.499999970E-4,3.437499981E-3,3.162499983E-3,4.703223603E-3
2.243184770E-1,-6.874999963E-4,2.199999988E-3,1.924999990E-3,3.003045313E-3
2.267163980E-1,-6.874999963E-4,9.624999948E-4,1.924999990E-3,2.259355537E-3
2.291142440E-1,5.499999970E-4,-5.087499972E-3,4.399999976E-3,6.748715119E-3
2.315123210E-1,-6.874999963E-4,3.437499981E-3,3.162499983E-3,4.721278271E-3
2.339102460E-1,-6.874999963E-4,-1.374999993E-3,3.162499983E-3,3.516345740E-3
2.363080920E-1,-6.874999963E-4,2.199999988E-3,4.399999976E-3,4.967157737E-3
2.387061670E-1,5.499999970E-4,-2.749999985E-4,3.162499983E-3,3.221727974E-3
2.411052530E-1,-1.924999990E-3,2.199999988E-3,4.399999976E-3,5.282577467E-3
2.435019480E-1,-6.874999963E-4,9.624999948E-4,4.399999976E-3,4.556211395E-3
2.459000220E-1,5.499999970E-4,2.199999988E-3,3.162499983E-3,3.891517196E-3
2.482979460E-1,1.787499990E-3,9.624999948E-4,3.162499983E-3,3.758053831E-3
2.506957940E-1,-6.874999963E-4,9.624999948E-4,3.162499983E-3,3.376458000E-3
2.530938550E-1,-6.874999963E-4,-1.374999993E-3,4.399999976E-3,4.660824070E-3
2.554917800E-1,-6.874999963E-4,-1.374999993E-3,1.924999990E-3,2.463515006E-3
2.578896260E-1,5.499999970E-4,-2.749999985E-4,3.162499983E-3,3.221727974E-3
2.602887010E-1,5.499999970E-4,-1.374999993E-3,1.924999990E-3,2.428734225E-3
2.626856260E-1,1.787499990E-3,-1.374999993E-3,1.924999990E-3,2.965030549E-3
2.650834750E-1,5.499999970E-4,-2.749999985E-4,3.162499983E-3,3.221727974E-3
2.674815520E-1,-6.874999963E-4,-2.749999985E-4,4.399999976E-3,4.461869679E-3
