"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.531375001E-3,-1.050964508E0,-3.978726196E-1,8.893605652E0,8.964320973E0
1.156937500E-2,-1.032552795E0,-3.335064697E-1,9.868228912E0,9.927705360E0
2.160837500E-2,1.700463867E-1,-4.933740234E-1,9.818532257E0,9.832390827E0
3.164637500E-2,-6.646179199E-2,-4.279600525E-1,1.008812164E1,1.009741379E1
4.168537500E-2,-4.439767456E-1,-4.372407532E-1,9.658664703E0,9.678744685E0
5.172437500E-2,-1.375639343E-1,-4.117936707E-1,9.945019226E0,9.954491713E0
6.176237500E-2,-1.721420288E-1,-3.848497009E-1,9.896669769E0,9.905645597E0
7.180137500E-2,-2.502795410E-1,-3.617976379E-1,9.933792572E0,9.943529164E0
8.183937500E-2,-3.206332397E-1,-3.489244080E-1,9.959539032E0,9.970805968E0
9.187837500E-2,-3.552113342E-1,-3.153941345E-1,9.916578369E0,9.927949189E0
1.019163750E-1,-3.444337463E-1,-3.417393494E-1,9.982591095E0,9.994375686E0
1.119553750E-1,-2.836601257E-1,-3.156935120E-1,9.926906891E0,9.935975336E0
1.219943750E-1,-2.507286072E-1,-3.598516846E-1,9.950258331E0,9.959919625E0
1.320323750E-1,-2.516267395E-1,-3.606001282E-1,9.901010742E0,9.910770010E0
1.420713750E-1,-2.433938599E-1,-3.924838257E-1,9.886940002E0,9.897720280E0
1.521093750E-1,-2.642005920E-1,-4.108955383E-1,9.866282959E0,9.878369123E0
1.621483750E-1,-2.565664673E-1,-4.186793518E-1,9.828112335E0,9.840371478E0
1.721863750E-1,-3.463796997E-1,-4.519102478E-1,9.848619690E0,9.865065208E0
1.822253750E-1,-3.008743286E-1,-4.122427368E-1,9.776918793E0,9.790230361E0
1.922633750E-1,-1.291813660E-1,-4.228706360E-1,9.927954712E0,9.937796142E0
2.023023750E-1,-3.436853027E-1,-4.108955383E-1,9.829309845E0,9.843895914E0
2.123413750E-1,-2.908451843E-1,-3.962260437E-1,9.885592804E0,9.897804357E0
2.223793750E-1,-2.549198914E-1,-3.739224243E-1,9.913285217E0,9.923609521E0
2.324183750E-1,-2.779719543E-1,-3.537144470E-1,9.898915100E0,9.909132277E0
2.424563750E-1,-2.854563904E-1,-3.644920349E-1,9.917177124E0,9.927977735E0
2.524953750E-1,-2.179467773E-1,-3.460803223E-1,9.954299927E0,9.962698400E0
2.625333750E-1,-2.559677124E-1,-3.514691162E-1,9.927805023E0,9.937321701E0
2.725723750E-1,-1.838177490E-1,-3.600013733E-1,9.940977631E0,9.949192239E0
2.826103750E-1,-2.168989563E-1,-3.496728516E-1,9.950857086E0,9.959361074E0
2.926493750E-1,-2.688409424E-1,-3.653901672E-1,9.872120819E0,9.882537877E0
3.026883750E-1,-2.160008240E-1,-3.787124634E-1,9.907447357E0,9.917035475E0
3.127263750E-1,-2.221380615E-1,-3.894900513E-1,9.890382843E0,9.900541430E0
3.227653750E-1,-2.652484131E-1,-3.936813354E-1,9.874066772E0,9.885470972E0
3.328033750E-1,-2.823129272E-1,-3.933819580E-1,9.871821442E0,9.883689014E0
3.428423750E-1,-2.974314880E-1,-4.016148376E-1,9.874366150E0,9.887004947E0
3.528803750E-1,-3.119512939E-1,-3.986210632E-1,9.877509613E0,9.890470591E0
3.629193750E-1,-3.080593872E-1,-3.849993896E-1,9.881401520E0,9.893696029E0
3.729573750E-1,-3.125500488E-1,-3.866459656E-1,9.894574127E0,9.907057070E0
3.829963750E-1,-3.251239014E-1,-3.760180664E-1,9.908944244E0,9.921404698E0
3.930353750E-1,-2.854563904E-1,-3.649411011E-1,9.911788330E0,9.922611312E0
4.030732083E-1,-2.761756897E-1,-3.686833191E-1,9.908495178E0,9.919197402E0
4.131122083E-1,-2.418969727E-1,-3.737727356E-1,9.899813232E0,9.909819486E0
4.231502083E-1,-2.215393066E-1,-3.736230469E-1,9.908046112E0,9.917562785E0
4.331892083E-1,-2.387535095E-1,-3.829037476E-1,9.885742493E0,9.896035729E0
4.432272083E-1,-2.154020691E-1,-3.794609070E-1,9.893975372E0,9.903592141E0
4.532662083E-1,-2.392025757E-1,-3.836521912E-1,9.906848602E0,9.917159679E0
4.633042083E-1,-2.335144043E-1,-3.766168213E-1,9.903405762E0,9.913315030E0
4.733432083E-1,-2.592608643E-1,-3.881428528E-1,9.889933777E0,9.900942439E0
4.833822083E-1,-2.737806702E-1,-3.848497009E-1,9.890382843E0,9.901653293E0
4.934202083E-1,-2.859054565E-1,-3.697311401E-1,9.899364166E0,9.910391210E0
5.034592083E-1,-3.112028503E-1,-3.820056152E-1,9.895921326E0,9.908180175E0
5.134972083E-1,-3.046165466E-1,-3.849993896E-1,9.905202026E0,9.917360685E0
5.235362083E-1,-3.020718384E-1,-3.781137085E-1,9.893825684E0,9.905655154E0
5.335742083E-1,-2.963836670E-1,-3.882925415E-1,9.895472260E0,9.907521669E0
5.436132083E-1,-2.842588806E-1,-3.778143311E-1,9.889933777E0,9.901229060E0
5.536512083E-1,-2.721340942E-1,-3.959266663E-1,9.883946228E0,9.895615591E0
5.636902083E-1,-2.525248718E-1,-3.894900513E-1,9.888885956E0,9.899774581E0
5.737292083E-1,-2.360591125E-1,-3.858975220E-1,9.891879730E0,9.902218206E0
5.837672083E-1,-2.282752991E-1,-3.902384949E-1,9.909243622E0,9.919551646E0
5.938062083E-1,-2.306703186E-1,-3.918850708E-1,9.899064789E0,9.909503842E0
6.038442083E-1,-2.363584900E-1,-3.722758484E-1,9.908195801E0,9.918003764E0
6.138832083E-1,-2.589614868E-1,-3.668870544E-1,9.921518097E0,9.931676017E0
6.239212083E-1,-2.640509033E-1,-3.661386108E-1,9.920619965E0,9.930885199E0
6.339602083E-1,-2.740800476E-1,-3.513194275E-1,9.924362183E0,9.934360067E0
6.439982083E-1,-2.869532776E-1,-3.580554199E-1,9.904752960E0,9.915375791E0
6.540372083E-1,-2.878514099E-1,-3.707789612E-1,9.905202026E0,9.916317999E0
6.640762083E-1,-3.074606323E-1,-3.818559265E-1,9.891879730E0,9.904020930E0
6.741142083E-1,-3.008743286E-1,-3.917353821E-1,9.882599030E0,9.894935348E0
6.841532083E-1,-2.812651062E-1,-3.945794678E-1,9.881102142E0,9.892976426E0
6.941912083E-1,-2.761756897E-1,-4.014651489E-1,9.878108368E0,9.890119929E0
7.042302083E-1,-2.649490356E-1,-4.222718811E-1,9.864636383E0,9.877224433E0
7.142682083E-1,-2.541714478E-1,-4.101470947E-1,9.865833893E0,9.877626343E0
7.243072083E-1,-2.519261169E-1,-4.099974060E-1,9.879754944E0,9.891467151E0
7.343452083E-1,-2.582130432E-1,-3.805087280E-1,9.885143738E0,9.895833850E0
7.443842083E-1,-2.457888794E-1,-3.815565491E-1,9.899513855E0,9.909912822E0
7.544222083E-1,-2.606080627E-1,-3.746708679E-1,9.913734283E0,9.924234090E0
7.644612083E-1,-2.574645996E-1,-3.653901672E-1,9.926757202E0,9.936815715E0
7.745002083E-1,-2.628533936E-1,-3.546125793E-1,9.937684479E0,9.947482837E0
7.845382083E-1,-2.902464294E-1,-3.448828125E-1,9.931247864E0,9.941472289E0
7.945772083E-1,-2.978805542E-1,-3.531156921E-1,9.937534790E0,9.948267247E0
8.046152083E-1,-2.893482971E-1,-3.629951477E-1,9.917027435E0,9.927886032E0
8.146542083E-1,-2.857557678E-1,-3.685336304E-1,9.914333038E0,9.925294605E0
