"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.802125700E-2,2.474999987E-3,3.712499980E-3,-3.712499980E-3,5.804389471E-3
2.041810400E-2,3.712499980E-3,8.662499487E-3,-3.712499980E-3,1.012937360E-2
2.281472100E-2,2.474999987E-3,8.662499487E-3,-2.474999987E-3,9.342919631E-3
2.521141100E-2,2.474999987E-3,3.712499980E-3,-3.712499980E-3,5.804389471E-3
2.760825700E-2,1.374999993E-3,2.474999987E-3,-3.712499980E-3,4.668929857E-3
3.000488400E-2,1.374999993E-3,1.237499993E-3,-4.949999973E-3,5.284366655E-3
3.240272800E-2,2.474999987E-3,2.474999987E-3,-3.712499980E-3,5.102343184E-3
3.479819200E-2,2.474999987E-3,3.712499980E-3,-3.712499980E-3,5.804389471E-3
3.719503600E-2,2.474999987E-3,3.712499980E-3,-2.474999987E-3,5.102343184E-3
3.959165100E-2,3.712499980E-3,1.237499993E-3,-2.474999987E-3,4.630300991E-3
4.198832900E-2,3.712499980E-3,2.474999987E-3,-2.474999987E-3,5.102343184E-3
4.438517600E-2,2.474999987E-3,3.712499980E-3,-2.474999987E-3,5.102343184E-3
4.678179300E-2,3.712499980E-3,0.000000000E0,-3.712499980E-3,5.250267822E-3
4.917848300E-2,2.474999987E-3,2.474999987E-3,-3.712499980E-3,5.102343184E-3
5.157632900E-2,2.474999987E-3,2.474999987E-3,-2.474999987E-3,4.286825726E-3
5.397194600E-2,1.374999993E-3,1.237499993E-3,-2.474999987E-3,3.089928178E-3
5.636863600E-2,3.712499980E-3,-1.099999994E-3,-2.474999987E-3,4.595463091E-3
5.876548200E-2,3.712499980E-3,0.000000000E0,-2.474999987E-3,4.461869679E-3
6.116210000E-2,2.474999987E-3,1.237499993E-3,-3.712499980E-3,4.630300991E-3
6.355871500E-2,3.712499980E-3,2.474999987E-3,-2.474999987E-3,5.102343184E-3
6.595563600E-2,4.949999973E-3,1.237499993E-3,-2.474999987E-3,5.670937392E-3
6.835225400E-2,2.474999987E-3,1.237499993E-3,-1.374999993E-3,3.089928178E-3
7.075009800E-2,1.374999993E-3,-1.099999994E-3,-1.374999993E-3,2.234110549E-3
7.314556100E-2,1.374999993E-3,-1.099999994E-3,-3.712499980E-3,4.108926997E-3
7.554240500E-2,1.374999993E-3,0.000000000E0,-1.374999993E-3,1.944543638E-3
7.793901100E-2,1.374999993E-3,1.237499993E-3,-1.374999993E-3,2.304919997E-3
8.033570300E-2,-1.099999994E-3,-2.337499987E-3,-2.474999987E-3,3.577643234E-3
8.273254900E-2,-1.099999994E-3,0.000000000E0,-2.474999987E-3,2.708435881E-3
8.512916700E-2,-1.099999994E-3,-1.099999994E-3,-2.474999987E-3,2.923290083E-3
8.752585700E-2,-1.099999994E-3,-1.099999994E-3,-2.474999987E-3,2.923290083E-3
8.992370300E-2,-1.099999994E-3,-3.574999981E-3,-1.374999993E-3,3.985128584E-3
9.231932100E-2,-2.337499987E-3,-2.337499987E-3,-2.474999987E-3,4.129580767E-3
9.471593400E-2,1.374999993E-4,-1.099999994E-3,-2.474999987E-3,2.711923887E-3
9.711262600E-2,-2.337499987E-3,-1.099999994E-3,-3.712499980E-3,4.522893131E-3
9.950947200E-2,-3.574999981E-3,0.000000000E0,-2.474999987E-3,4.348131759E-3
1.019060990E-1,1.374999993E-4,1.237499993E-3,-2.474999987E-3,2.770548216E-3
1.043027890E-1,1.374999993E-4,0.000000000E0,-1.374999993E-3,1.381857890E-3
1.066996350E-1,1.374999993E-4,-2.337499987E-3,-2.474999987E-3,3.407115697E-3
1.090974810E-1,-1.099999994E-3,-2.337499987E-3,-2.474999987E-3,3.577643234E-3
1.114929450E-1,-2.337499987E-3,-2.337499987E-3,-1.374999993E-3,3.580284536E-3
1.138897940E-1,-2.337499987E-3,-2.337499987E-3,-3.712499980E-3,4.970962531E-3
1.162864090E-1,-2.337499987E-3,0.000000000E0,-2.474999987E-3,3.404340042E-3
1.186831020E-1,-4.812499974E-3,1.237499993E-3,-2.474999987E-3,5.551323010E-3
1.210799480E-1,-3.574999981E-3,1.237499993E-3,-4.949999973E-3,6.230130884E-3
1.234765650E-1,-3.574999981E-3,-1.099999994E-3,-2.474999987E-3,4.485114244E-3
1.258731810E-1,-4.812499974E-3,0.000000000E0,-3.712499980E-3,6.078059896E-3
1.282711020E-1,-2.337499987E-3,1.237499993E-3,-1.374999993E-3,2.980928950E-3
1.306667190E-1,-3.574999981E-3,1.237499993E-3,-1.374999993E-3,4.025252299E-3
1.330633330E-1,-2.337499987E-3,1.237499993E-3,-2.474999987E-3,3.622283445E-3
1.354600250E-1,-1.099999994E-3,2.474999987E-3,-2.474999987E-3,3.668957598E-3
1.378568950E-1,-2.337499987E-3,3.712499980E-3,-3.712499980E-3,5.747105218E-3
1.402535120E-1,-2.337499987E-3,4.949999973E-3,-2.474999987E-3,6.007664343E-3
1.426502030E-1,-2.337499987E-3,8.662499487E-3,-2.474999987E-3,9.307439417E-3
1.450468200E-1,-1.099999994E-3,4.949999973E-3,-3.712499980E-3,6.284517151E-3
1.474448950E-1,1.374999993E-4,3.712499980E-3,-2.474999987E-3,4.463987823E-3
1.498403580E-1,-2.337499987E-3,4.949999973E-3,-3.712499980E-3,6.614307373E-3
1.522369710E-1,-2.337499987E-3,3.712499980E-3,-3.712499980E-3,5.747105218E-3
1.546338170E-1,1.374999993E-4,2.474999987E-3,-3.712499980E-3,4.463987823E-3
1.570305120E-1,1.374999993E-3,3.712499980E-3,-3.712499980E-3,5.427332418E-3
1.594271270E-1,1.374999993E-4,4.949999973E-3,-3.712499980E-3,6.189027556E-3
1.618239620E-1,1.374999993E-4,7.424999960E-3,-2.474999987E-3,7.827844888E-3
1.642206560E-1,1.374999993E-4,6.187499966E-3,-2.474999987E-3,6.665559768E-3
1.666185010E-1,1.374999993E-3,6.187499966E-3,-1.374999993E-3,6.485861993E-3
1.690141180E-1,1.374999993E-3,4.949999973E-3,-2.474999987E-3,5.702521341E-3
1.714108080E-1,1.374999993E-4,4.949999973E-3,-3.712499980E-3,6.189027556E-3
1.738074380E-1,1.374999993E-3,6.187499966E-3,-1.374999993E-3,6.485861993E-3
1.762042840E-1,1.374999993E-3,6.187499966E-3,-2.474999987E-3,6.804513631E-3
1.786009010E-1,1.374999993E-3,4.949999973E-3,-2.474999987E-3,5.702521341E-3
1.809975910E-1,2.474999987E-3,4.949999973E-3,-3.712499980E-3,6.664141413E-3
1.833942090E-1,3.712499980E-3,3.712499980E-3,-3.712499980E-3,6.430238588E-3
1.857923320E-1,2.474999987E-3,4.949999973E-3,-2.474999987E-3,6.062487081E-3
1.881877950E-1,1.374999993E-3,3.712499980E-3,-2.474999987E-3,4.668929857E-3
1.905844090E-1,1.374999993E-4,2.474999987E-3,-1.374999993E-3,2.834635102E-3
1.929812550E-1,2.474999987E-3,2.474999987E-3,-1.374999993E-3,3.760568421E-3
1.953779490E-1,4.949999973E-3,0.000000000E0,-2.474999987E-3,5.534268214E-3
1.977745590E-1,3.712499980E-3,0.000000000E0,-1.374999993E-3,3.958949492E-3
2.001714030E-1,4.949999973E-3,2.474999987E-3,-3.712499980E-3,6.664141413E-3
2.025680970E-1,1.374999993E-3,1.237499993E-3,-2.474999987E-3,3.089928178E-3
2.049659410E-1,2.474999987E-3,2.474999987E-3,-1.374999993E-3,3.760568421E-3
2.073615590E-1,3.712499980E-3,0.000000000E0,-2.474999987E-3,4.461869679E-3
2.097582260E-1,3.712499980E-3,1.237499993E-3,-1.374999993E-3,4.147853338E-3
2.121548410E-1,3.712499980E-3,-2.337499987E-3,-1.374999993E-3,4.597519687E-3
2.145514570E-1,2.474999987E-3,-2.337499987E-3,-1.374999993E-3,3.671533209E-3
2.169483030E-1,2.474999987E-3,-1.099999994E-3,-2.474999987E-3,3.668957598E-3
2.193449970E-1,3.712499980E-3,-3.574999981E-3,-2.474999987E-3,5.717421263E-3
2.217416220E-1,1.374999993E-3,-2.337499987E-3,-1.374999993E-3,3.040584837E-3
2.241396970E-1,2.474999987E-3,0.000000000E0,-1.374999993E-3,2.831298273E-3
2.265351600E-1,2.474999987E-3,0.000000000E0,-1.374999993E-4,2.478816488E-3
2.289317730E-1,2.474999987E-3,-2.337499987E-3,-1.374999993E-4,3.407115697E-3
2.313286200E-1,1.374999993E-3,-2.337499987E-3,-1.374999993E-3,3.040584837E-3
2.337253050E-1,2.474999987E-3,-3.574999981E-3,-1.374999993E-3,4.560359062E-3
2.361219200E-1,3.712499980E-3,-7.287499961E-3,-2.474999987E-3,8.544936320E-3
2.385187640E-1,2.474999987E-3,-3.574999981E-3,-2.474999987E-3,5.003186458E-3
2.409153820E-1,1.374999993E-4,-4.812499974E-3,-3.712499980E-3,6.079614984E-3
2.433132260E-1,1.374999993E-4,-3.574999981E-3,-2.474999987E-3,4.350305282E-3
2.457089060E-1,1.374999993E-4,-3.574999981E-3,-1.374999993E-3,3.832773942E-3
2.481055200E-1,1.374999993E-4,-2.337499987E-3,-2.474999987E-3,3.407115697E-3
